municipality,group,variable,month,Viviendas Roceadas,TOTAL
ANZALDO,chagas viviendas,viviendas roceadas,2020-01-01,7,7
ARQUE,chagas viviendas,viviendas roceadas,2020-01-01,5,5
CAMARGO,chagas viviendas,viviendas roceadas,2020-01-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2020-01-01,89,89
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2020-01-01,3,3
ICLA,chagas viviendas,viviendas roceadas,2020-01-01,13,13
MIZQUE,chagas viviendas,viviendas roceadas,2020-01-01,0,0
OMEREQUE,chagas viviendas,viviendas roceadas,2020-01-01,34,34
PADILLA,chagas viviendas,viviendas roceadas,2020-01-01,2,2
PASORAPA,chagas viviendas,viviendas roceadas,2020-01-01,10,10
PUNATA,chagas viviendas,viviendas roceadas,2020-01-01,2,2
QUILLACOLLO,chagas viviendas,viviendas roceadas,2020-01-01,4,4
SACABA,chagas viviendas,viviendas roceadas,2020-01-01,9,9
SAN BENITO,chagas viviendas,viviendas roceadas,2020-01-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2020-01-01,1,1
SAN LUCAS,chagas viviendas,viviendas roceadas,2020-01-01,17,17
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2020-01-01,3,3
SANTIVAÑES,chagas viviendas,viviendas roceadas,2020-01-01,11,11
SIPE SIPE,chagas viviendas,viviendas roceadas,2020-01-01,46,46
TAPACARI,chagas viviendas,viviendas roceadas,2020-01-01,3,3
TARIJA,chagas viviendas,viviendas roceadas,2020-01-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2020-01-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2020-01-01,2,2
VILA VILA,chagas viviendas,viviendas roceadas,2020-01-01,4,4
VILLA RIVERO,chagas viviendas,viviendas roceadas,2020-01-01,4,4
VINTO,chagas viviendas,viviendas roceadas,2020-01-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2020-01-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2020-02-01,18,18
ARANI,chagas viviendas,viviendas roceadas,2020-02-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2020-02-01,4,4
CAPINOTA,chagas viviendas,viviendas roceadas,2020-02-01,42,42
