municipality,group,variable,month,Viviendas Positivas,TOTAL
ANZALDO,chagas viviendas,viviendas positivas,2020-01-01,1,1
ARANI,chagas viviendas,viviendas positivas,2020-01-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2020-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2020-01-01,38,38
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2020-01-01,2,2
MIZQUE,chagas viviendas,viviendas positivas,2020-01-01,1,1
PADILLA,chagas viviendas,viviendas positivas,2020-01-01,1,1
PUCARA,chagas viviendas,viviendas positivas,2020-01-01,3,3
PUNATA,chagas viviendas,viviendas positivas,2020-01-01,1,1
SACABA,chagas viviendas,viviendas positivas,2020-01-01,2,2
SAN BENITO,chagas viviendas,viviendas positivas,2020-01-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2020-01-01,13,13
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2020-01-01,3,3
SANTIVAÑES,chagas viviendas,viviendas positivas,2020-01-01,1,1
SIPE SIPE,chagas viviendas,viviendas positivas,2020-01-01,21,21
TORO TORO,chagas viviendas,viviendas positivas,2020-01-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2020-01-01,5,5
YOTALA,chagas viviendas,viviendas positivas,2020-01-01,5,5
ARANI,chagas viviendas,viviendas positivas,2020-02-01,5,5
ARBIETO,chagas viviendas,viviendas positivas,2020-02-01,1,1
"CAIZA ""D""",chagas viviendas,viviendas positivas,2020-02-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2020-02-01,3,3
COCHABAMBA,chagas viviendas,viviendas positivas,2020-02-01,11,11
CULPINA,chagas viviendas,viviendas positivas,2020-02-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2020-02-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2020-02-01,2,2
ICLA,chagas viviendas,viviendas positivas,2020-02-01,2,2
MOJOCOYA,chagas viviendas,viviendas positivas,2020-02-01,9,9
POJO (CBBA),chagas viviendas,viviendas positivas,2020-02-01,6,6
