municipality,group,variable,month,Viviendas Evaluadas,TOTAL
AIQUILE,chagas viviendas,viviendas evaluadas,2020-01-01,348,348
ANZALDO,chagas viviendas,viviendas evaluadas,2020-01-01,169,169
ARANI,chagas viviendas,viviendas evaluadas,2020-01-01,444,444
ARBIETO,chagas viviendas,viviendas evaluadas,2020-01-01,255,255
ARQUE,chagas viviendas,viviendas evaluadas,2020-01-01,71,71
CAPINOTA,chagas viviendas,viviendas evaluadas,2020-01-01,468,468
CLIZA,chagas viviendas,viviendas evaluadas,2020-01-01,240,240
COCHABAMBA,chagas viviendas,viviendas evaluadas,2020-01-01,983,983
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2020-01-01,180,180
COLQUECHACA,chagas viviendas,viviendas evaluadas,2020-01-01,8,8
COTAGAITA,chagas viviendas,viviendas evaluadas,2020-01-01,183,183
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2020-01-01,135,135
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2020-01-01,32,32
MIZQUE,chagas viviendas,viviendas evaluadas,2020-01-01,415,415
OMEREQUE,chagas viviendas,viviendas evaluadas,2020-01-01,340,340
PADCAYA,chagas viviendas,viviendas evaluadas,2020-01-01,107,107
PADILLA,chagas viviendas,viviendas evaluadas,2020-01-01,198,198
PASORAPA,chagas viviendas,viviendas evaluadas,2020-01-01,176,176
PUCARA,chagas viviendas,viviendas evaluadas,2020-01-01,3,3
PUNATA,chagas viviendas,viviendas evaluadas,2020-01-01,112,112
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2020-01-01,542,542
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2020-01-01,9,9
SACABA,chagas viviendas,viviendas evaluadas,2020-01-01,880,880
SAN BENITO,chagas viviendas,viviendas evaluadas,2020-01-01,117,117
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2020-01-01,29,29
SAN LUCAS,chagas viviendas,viviendas evaluadas,2020-01-01,223,223
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2020-01-01,33,33
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2020-01-01,46,46
SIPE SIPE,chagas viviendas,viviendas evaluadas,2020-01-01,413,413
TACACHI,chagas viviendas,viviendas evaluadas,2020-01-01,138,138
TAPACARI,chagas viviendas,viviendas evaluadas,2020-01-01,543,543
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2020-01-01,1,1
TOCO,chagas viviendas,viviendas evaluadas,2020-01-01,263,263
TORO TORO,chagas viviendas,viviendas evaluadas,2020-01-01,167,167
TUPIZA,chagas viviendas,viviendas evaluadas,2020-01-01,225,225
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2020-01-01,45,45
VILA VILA,chagas viviendas,viviendas evaluadas,2020-01-01,74,74
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2020-01-01,108,108
VINTO,chagas viviendas,viviendas evaluadas,2020-01-01,298,298
YOTALA,chagas viviendas,viviendas evaluadas,2020-01-01,127,127
AIQUILE,chagas viviendas,viviendas evaluadas,2020-02-01,486,486
ANZALDO,chagas viviendas,viviendas evaluadas,2020-02-01,286,286
ARANI,chagas viviendas,viviendas evaluadas,2020-02-01,311,311
ARBIETO,chagas viviendas,viviendas evaluadas,2020-02-01,240,240
ARQUE,chagas viviendas,viviendas evaluadas,2020-02-01,31,31
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2020-02-01,209,209
CAPINOTA,chagas viviendas,viviendas evaluadas,2020-02-01,452,452
CLIZA,chagas viviendas,viviendas evaluadas,2020-02-01,219,219
COCHABAMBA,chagas viviendas,viviendas evaluadas,2020-02-01,335,335
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2020-02-01,103,103
COTAGAITA,chagas viviendas,viviendas evaluadas,2020-02-01,581,581
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2020-02-01,148,148
CULPINA,chagas viviendas,viviendas evaluadas,2020-02-01,149,149
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2020-02-01,73,73
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2020-02-01,39,39
ICLA,chagas viviendas,viviendas evaluadas,2020-02-01,175,175
LA GUARDIA,chagas viviendas,viviendas evaluadas,2020-02-01,1,1
MOJOCOYA,chagas viviendas,viviendas evaluadas,2020-02-01,23,23
OMEREQUE,chagas viviendas,viviendas evaluadas,2020-02-01,57,57
PADCAYA,chagas viviendas,viviendas evaluadas,2020-02-01,51,51
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2020-02-01,25,25
PASORAPA,chagas viviendas,viviendas evaluadas,2020-02-01,190,190
POCONA,chagas viviendas,viviendas evaluadas,2020-02-01,17,17
POJO (CBBA),chagas viviendas,viviendas evaluadas,2020-02-01,148,148
PRESTO,chagas viviendas,viviendas evaluadas,2020-02-01,16,16
PUCARA,chagas viviendas,viviendas evaluadas,2020-02-01,1,1
PUNATA,chagas viviendas,viviendas evaluadas,2020-02-01,337,337
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2020-02-01,367,367
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2020-02-01,9,9
SACABA,chagas viviendas,viviendas evaluadas,2020-02-01,646,646
SAN BENITO,chagas viviendas,viviendas evaluadas,2020-02-01,224,224
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2020-02-01,31,31
SAN LUCAS,chagas viviendas,viviendas evaluadas,2020-02-01,188,188
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2020-02-01,203,203
SICAYA,chagas viviendas,viviendas evaluadas,2020-02-01,103,103
SIPE SIPE,chagas viviendas,viviendas evaluadas,2020-02-01,282,282
TACACHI,chagas viviendas,viviendas evaluadas,2020-02-01,11,11
TACOPAYA,chagas viviendas,viviendas evaluadas,2020-02-01,118,118
TAPACARI,chagas viviendas,viviendas evaluadas,2020-02-01,260,260
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2020-02-01,18,18
TOMAVE,chagas viviendas,viviendas evaluadas,2020-02-01,274,274
TORO TORO,chagas viviendas,viviendas evaluadas,2020-02-01,226,226
TUPIZA,chagas viviendas,viviendas evaluadas,2020-02-01,326,326
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2020-02-01,79,79
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2020-02-01,43,43
VILA VILA,chagas viviendas,viviendas evaluadas,2020-02-01,6,6
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2020-02-01,191,191
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2020-02-01,364,364
VINTO,chagas viviendas,viviendas evaluadas,2020-02-01,215,215
VITICHI,chagas viviendas,viviendas evaluadas,2020-02-01,299,299
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2020-02-01,543,543
YOTALA,chagas viviendas,viviendas evaluadas,2020-02-01,210,210
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2020-02-01,195,195
ACACIO,chagas viviendas,viviendas evaluadas,2020-03-01,155,155
AIQUILE,chagas viviendas,viviendas evaluadas,2020-03-01,748,748
ALCALA,chagas viviendas,viviendas evaluadas,2020-03-01,7,7
ANZALDO,chagas viviendas,viviendas evaluadas,2020-03-01,289,289
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2020-03-01,51,51
ARANI,chagas viviendas,viviendas evaluadas,2020-03-01,264,264
ARBIETO,chagas viviendas,viviendas evaluadas,2020-03-01,104,104
ARQUE,chagas viviendas,viviendas evaluadas,2020-03-01,24,24
BELLA FLOR,chagas viviendas,viviendas evaluadas,2020-03-01,54,54
CAPINOTA,chagas viviendas,viviendas evaluadas,2020-03-01,324,324
CLIZA,chagas viviendas,viviendas evaluadas,2020-03-01,196,196
COCHABAMBA,chagas viviendas,viviendas evaluadas,2020-03-01,15,15
COLQUECHACA,chagas viviendas,viviendas evaluadas,2020-03-01,10,10
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2020-03-01,102,102
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2020-03-01,138,138
HUACARETA,chagas viviendas,viviendas evaluadas,2020-03-01,583,583
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2020-03-01,42,42
ICLA,chagas viviendas,viviendas evaluadas,2020-03-01,36,36
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2020-03-01,53,53
MIZQUE,chagas viviendas,viviendas evaluadas,2020-03-01,347,347
POCONA,chagas viviendas,viviendas evaluadas,2020-03-01,212,212
PRESTO,chagas viviendas,viviendas evaluadas,2020-03-01,3,3
PUNATA,chagas viviendas,viviendas evaluadas,2020-03-01,316,316
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2020-03-01,597,597
SACABA,chagas viviendas,viviendas evaluadas,2020-03-01,538,538
SAN BENITO,chagas viviendas,viviendas evaluadas,2020-03-01,249,249
SAN LUCAS,chagas viviendas,viviendas evaluadas,2020-03-01,324,324
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2020-03-01,273,273
SICAYA,chagas viviendas,viviendas evaluadas,2020-03-01,103,103
SIPE SIPE,chagas viviendas,viviendas evaluadas,2020-03-01,73,73
TACACHI,chagas viviendas,viviendas evaluadas,2020-03-01,51,51
TACOPAYA,chagas viviendas,viviendas evaluadas,2020-03-01,216,216
TAPACARI,chagas viviendas,viviendas evaluadas,2020-03-01,831,831
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2020-03-01,108,108
TOCO,chagas viviendas,viviendas evaluadas,2020-03-01,115,115
TOMAVE,chagas viviendas,viviendas evaluadas,2020-03-01,268,268
TORO TORO,chagas viviendas,viviendas evaluadas,2020-03-01,96,96
TUPIZA,chagas viviendas,viviendas evaluadas,2020-03-01,354,354
