,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,4,0,4,0,4
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,2,0,2,0,2
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,2,0,2,0,2
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,2,2,2,2,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,65,62,65,62,127
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,10,12,10,12,22
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,3,0,3,0,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,51,45,51,45,96
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,4,5,4,5,9
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,20,17,20,17,37
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,16,9,16,9,25
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,2,0,2,0,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,5,3,5,3,8
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,0,1,0,1,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,2,0,2,0,2
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,88,80,88,80,168
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,16,14,16,14,30
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,1,1,1,2
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,18,22,18,22,40
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,16,15,16,15,31
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,2,1,2,3
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,0,2,0,2,2
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,2,1,2,1,3
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,1,1,1,1,2
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2017-01-01,3,1,3,1,4
AZURDUY,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,0,0,0,0
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,2,0,2,0,2
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,3,4,3,4,7
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,58,47,58,47,105
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,0,2,0,2,2
CONCEPCION,internaciones,fallecidos a partir de las 48 hrs.,2017-02-01,1,0,1,0,1
