,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
APOLO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,2,0,2,0,2
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,2,1,2,3
CAPINOTA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,5,1,5,1,6
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,2,2,2,2,4
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,31,16,31,16,47
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,1,1,1,2
COROICO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,10,10,10,10,20
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,1,1,1,2
ENTRE RIOS TRJ,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,2,4,2,4,6
LA ASUNTA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,50,47,50,47,97
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,0,1,0,1,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,3,6,3,6,9
ORURO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,16,14,16,14,30
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,1,1,1,2
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
PAMPA GRANDE,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,7,11,7,11,18
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,2,1,2,1,3
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,7,5,7,5,12
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,1,1,1,2
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,28,18,28,18,46
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,11,12,11,12,23
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,10,4,10,4,14
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,9,3,9,3,12
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,2,1,2,3
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,2,2,2,2,4
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,2,1,2,1,3
VINTO,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2017-02-01,4,1,4,1,5
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
APOLO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,4,0,4,0,4
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,3,1,3,4
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,3,1,3,1,4
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,25,23,25,23,48
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
COROICO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,10,10,10,10,20
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,2,1,2,1,3
FERNANDEZ ALONSO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,3,1,3,4
HUARACAJE,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,42,47,42,47,89
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,82,49,82,49,131
ORURO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,14,8,14,8,22
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,9,5,9,5,14
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,5,3,5,3,8
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,2,1,2,3
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,0,2,0,2,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,2,2,2,2,4
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,32,31,32,31,63
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,10,12,10,12,22
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,14,13,14,13,27
TIPUANI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,7,8,7,8,15
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,2,1,2,3
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,2,2,2,2,4
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
VINTO,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,5,2,5,2,7
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2017-03-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
CABEZAS,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,3,3,3,3,6
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,2,0,2,0,2
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,41,117,41,117,158
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,38,33,38,33,71
COROICO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,1,0,1,1
COTAGAITA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,8,15,8,15,23
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,2,1,2,1,3
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,2,1,2,3
LA ASUNTA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,10,17,10,17,27
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,2,1,2,1,3
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,4,3,4,3,7
ORURO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,20,17,20,17,37
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,15,7,15,7,22
PUERTO RICO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,2,1,2,3
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,2,1,2,1,3
REYES,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,9,1,9,1,10
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
SACABA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,3,1,3,1,4
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,2,1,2,1,3
SAN JULIAN,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
SAN MATIAS,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,36,24,36,24,60
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,14,9,14,9,23
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,15,6,15,6,21
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,8,9,8,9,17
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,3,1,3,4
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,0,3,0,3,3
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2017-04-01,1,2,1,2,3
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,3,0,3,3
CAPINOTA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,3,3,3,3,6
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,37,28,37,28,65
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,1,1,1,2
COROICO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,2,0,2,2
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,10,10,10,10,20
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,4,1,4,1,5
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,14,21,14,21,35
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,2,1,2,1,3
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,2,0,2,0,2
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,4,0,4,0,4
ORURO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,27,18,27,18,45
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,2,0,2,0,2
PATACAMAYA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,4,8,4,8,12
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,4,4,4,4,8
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,1,1,1,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,2,0,2,0,2
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,30,24,30,24,54
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,21,9,21,9,30
TARABUCO,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,19,7,19,7,26
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,13,9,13,9,22
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,1,1,1,2
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,5,3,5,3,8
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,1,1,1,2
ZUDAÑEZ,internaciones,fallecidos antes de las 48 hrs.,2017-05-01,1,0,1,0,1
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,2,0,2,0,2
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,3,1,3,1,4
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,2,2,2,2,4
CARIPUYO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,2,0,2,2
CHIMORE,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,2,1,2,3
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,22,23,22,23,45
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,13,9,13,9,22
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,3,1,3,1,4
ENTRE RIOS TRJ,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,7,22,7,22,29
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
HUACARETA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,14,9,14,9,23
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,2,1,2,1,3
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,5,2,5,2,7
ORURO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,28,18,28,18,46
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,15,9,15,9,24
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,9,6,9,6,15
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,1,1,1,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,1,1,1,2
SAN JULIAN,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,1,1,1,2
SAN RAMON BENI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,36,26,36,26,62
SANTA ROSA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,1,0,1,1
SORATA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,14,24,14,24,38
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,17,10,17,10,27
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,7,4,7,4,11
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,3,3,3,3,6
UYUNI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,3,1,3,1,4
VILLA TUNARI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,3,2,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,1,2,1,2,3
YACUIBA,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,0,5,0,5,5
YAPACANI,internaciones,fallecidos antes de las 48 hrs.,2017-06-01,4,0,4,0,4
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,1,1,1,1,2
CAPINOTA,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,1,0,1,0,1
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,3,0,3,0,3
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2017-07-01,0,1,0,1,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,2,3,2,3,5
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,35,25,35,25,60
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2017-07-01,0,1,0,1,1
