,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2017-01-01,3,0,3,0,3
ANZALDO,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2017-01-01,1,17,1,17,18
BERMEJO,internaciones,contrareferidos,2017-01-01,20,8,20,8,28
CAMARGO,internaciones,contrareferidos,2017-01-01,5,14,5,14,19
CAMIRI,internaciones,contrareferidos,2017-01-01,1,25,1,25,26
CAPINOTA,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
CARACOLLO,internaciones,contrareferidos,2017-01-01,0,3,0,3,3
CARANAVI,internaciones,contrareferidos,2017-01-01,2,3,2,3,5
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
COBIJA,internaciones,contrareferidos,2017-01-01,21,64,21,64,85
COCHABAMBA,internaciones,contrareferidos,2017-01-01,21,279,21,279,300
COROICO,internaciones,contrareferidos,2017-01-01,6,0,6,0,6
CUATRO CAÑADAS,internaciones,contrareferidos,2017-01-01,0,2,0,2,2
CULPINA,internaciones,contrareferidos,2017-01-01,0,2,0,2,2
EL ALTO,internaciones,contrareferidos,2017-01-01,33,7,33,7,40
ENTRE RIOS TRJ,internaciones,contrareferidos,2017-01-01,0,3,0,3,3
LA PAZ,internaciones,contrareferidos,2017-01-01,142,161,142,161,303
MACHARETI,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2017-01-01,1,0,1,0,1
MONTERO,internaciones,contrareferidos,2017-01-01,339,1,339,1,340
PUERTO QUIJARRO,internaciones,contrareferidos,2017-01-01,0,2,0,2,2
PUERTO SUAREZ,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,contrareferidos,2017-01-01,8,0,8,0,8
PUNATA,internaciones,contrareferidos,2017-01-01,32,67,32,67,99
SACABA,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2017-01-01,35,0,35,0,35
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2017-01-01,1,0,1,0,1
SAN LUCAS,internaciones,contrareferidos,2017-01-01,0,2,0,2,2
SAN MATIAS,internaciones,contrareferidos,2017-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2017-01-01,1010,494,1010,494,1504
SENA,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
SOPACHUY,internaciones,contrareferidos,2017-01-01,0,1,0,1,1
SUCRE,internaciones,contrareferidos,2017-01-01,617,168,617,168,785
TARABUCO,internaciones,contrareferidos,2017-01-01,2,21,2,21,23
TARIJA,internaciones,contrareferidos,2017-01-01,2,1,2,1,3
TARVITA,internaciones,contrareferidos,2017-01-01,3,6,3,6,9
TUPIZA,internaciones,contrareferidos,2017-01-01,0,55,0,55,55
VILLAZON,internaciones,contrareferidos,2017-01-01,7,5,7,5,12
VINTO,internaciones,contrareferidos,2017-01-01,2,3,2,3,5
YACUIBA,internaciones,contrareferidos,2017-01-01,11,11,11,11,22
ACHACACHI,internaciones,contrareferidos,2017-02-01,8,0,8,0,8
ANZALDO,internaciones,contrareferidos,2017-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2017-02-01,0,8,0,8,8
BERMEJO,internaciones,contrareferidos,2017-02-01,10,4,10,4,14
CAMARGO,internaciones,contrareferidos,2017-02-01,7,15,7,15,22
CAMIRI,internaciones,contrareferidos,2017-02-01,0,28,0,28,28
CARANAVI,internaciones,contrareferidos,2017-02-01,12,9,12,9,21
COBIJA,internaciones,contrareferidos,2017-02-01,22,133,22,133,155
COCHABAMBA,internaciones,contrareferidos,2017-02-01,17,297,17,297,314
COROICO,internaciones,contrareferidos,2017-02-01,11,0,11,0,11
CULPINA,internaciones,contrareferidos,2017-02-01,2,2,2,2,4
EL ALTO,internaciones,contrareferidos,2017-02-01,29,5,29,5,34
