,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2017-01-01,0,2,0,2,2
ACHACACHI,internaciones,egresos,2017-01-01,11,49,11,49,60
ACHOCALLA,internaciones,egresos,2017-01-01,0,8,0,8,8
AIQUILE,internaciones,egresos,2017-01-01,13,51,13,51,64
ALCALA,internaciones,egresos,2017-01-01,0,4,0,4,4
ALTO BENI,internaciones,egresos,2017-01-01,1,5,1,5,6
ANCORAIMES,internaciones,egresos,2017-01-01,0,1,0,1,1
ANDAMARCA,internaciones,egresos,2017-01-01,0,1,0,1,1
ANTEQUERA,internaciones,egresos,2017-01-01,1,1,1,1,2
ANZALDO,internaciones,egresos,2017-01-01,11,16,11,16,27
APOLO,internaciones,egresos,2017-01-01,5,15,5,15,20
ARAMPAMPA,internaciones,egresos,2017-01-01,0,1,0,1,1
ARANI,internaciones,egresos,2017-01-01,0,7,0,7,7
ARQUE,internaciones,egresos,2017-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,egresos,2017-01-01,50,159,50,159,209
ATOCHA,internaciones,egresos,2017-01-01,19,22,19,22,41
AUCAPATA,internaciones,egresos,2017-01-01,0,1,0,1,1
AYATA,internaciones,egresos,2017-01-01,1,2,1,2,3
AYO AYO,internaciones,egresos,2017-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2017-01-01,14,40,14,40,54
BATALLAS,internaciones,egresos,2017-01-01,2,13,2,13,15
BAURES,internaciones,egresos,2017-01-01,3,10,3,10,13
BELLA FLOR,internaciones,egresos,2017-01-01,0,2,0,2,2
BERMEJO,internaciones,egresos,2017-01-01,98,158,98,158,256
BETANZOS,internaciones,egresos,2017-01-01,3,17,3,17,20
BOYUIBE,internaciones,egresos,2017-01-01,5,31,5,31,36
BUENA VISTA,internaciones,egresos,2017-01-01,11,7,11,7,18
CABEZAS,internaciones,egresos,2017-01-01,4,21,4,21,25
"CAIZA ""D""",internaciones,egresos,2017-01-01,0,6,0,6,6
CAJUATA,internaciones,egresos,2017-01-01,0,17,0,17,17
CALACOTO,internaciones,egresos,2017-01-01,0,1,0,1,1
CALAMARCA,internaciones,egresos,2017-01-01,0,7,0,7,7
CAMARGO,internaciones,egresos,2017-01-01,55,60,55,60,115
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2017-01-01,0,2,0,2,2
CAMIRI,internaciones,egresos,2017-01-01,137,374,137,374,511
CAPINOTA,internaciones,egresos,2017-01-01,6,27,6,27,33
CAQUIAVIRI,internaciones,egresos,2017-01-01,0,2,0,2,2
CARACOLLO,internaciones,egresos,2017-01-01,7,46,7,46,53
CARANAVI,internaciones,egresos,2017-01-01,42,152,42,152,194
CARAPARI,internaciones,egresos,2017-01-01,2,4,2,4,6
CARIPUYO,internaciones,egresos,2017-01-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,egresos,2017-01-01,10,20,10,20,30
CHALLAPATA,internaciones,egresos,2017-01-01,25,122,25,122,147
CHAQUI,internaciones,egresos,2017-01-01,0,2,0,2,2
CHARAGUA,internaciones,egresos,2017-01-01,32,107,32,107,139
CHIMORE,internaciones,egresos,2017-01-01,0,21,0,21,21
CHIPAYA,internaciones,egresos,2017-01-01,0,1,0,1,1
CHUA COCANI,internaciones,egresos,2017-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2017-01-01,53,67,53,67,120
CHUMA,internaciones,egresos,2017-01-01,2,3,2,3,5
CKOCHAS,internaciones,egresos,2017-01-01,1,3,1,3,4
CLIZA,internaciones,egresos,2017-01-01,16,76,16,76,92
COBIJA,internaciones,egresos,2017-01-01,202,431,202,431,633
COCAPATA,internaciones,egresos,2017-01-01,0,15,0,15,15
COCHABAMBA,internaciones,egresos,2017-01-01,2973,5219,2973,5219,8192
COLCAPIRHUA,internaciones,egresos,2017-01-01,31,92,31,92,123
"COLCHA ""K""",internaciones,egresos,2017-01-01,0,3,0,3,3
COLOMI,internaciones,egresos,2017-01-01,1,16,1,16,17
