,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2017-01-01,0,3,0,3,3
ACHACACHI,internaciones,ingresos espontaneos,2017-01-01,11,47,11,47,58
ACHOCALLA,internaciones,ingresos espontaneos,2017-01-01,0,8,0,8,8
AIQUILE,internaciones,ingresos espontaneos,2017-01-01,12,47,12,47,59
ALCALA,internaciones,ingresos espontaneos,2017-01-01,0,4,0,4,4
ALTO BENI,internaciones,ingresos espontaneos,2017-01-01,1,5,1,5,6
ANCORAIMES,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
ANDAMARCA,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
ANTEQUERA,internaciones,ingresos espontaneos,2017-01-01,1,1,1,1,2
ANZALDO,internaciones,ingresos espontaneos,2017-01-01,3,9,3,9,12
APOLO,internaciones,ingresos espontaneos,2017-01-01,4,15,4,15,19
ARAMPAMPA,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
ARANI,internaciones,ingresos espontaneos,2017-01-01,0,7,0,7,7
ARQUE,internaciones,ingresos espontaneos,2017-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2017-01-01,60,141,60,141,201
ATOCHA,internaciones,ingresos espontaneos,2017-01-01,19,23,19,23,42
AUCAPATA,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
AYATA,internaciones,ingresos espontaneos,2017-01-01,0,3,0,3,3
AYO AYO,internaciones,ingresos espontaneos,2017-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2017-01-01,13,38,13,38,51
AZURDUY,internaciones,ingresos espontaneos,2017-01-01,7,22,7,22,29
BATALLAS,internaciones,ingresos espontaneos,2017-01-01,2,12,2,12,14
BAURES,internaciones,ingresos espontaneos,2017-01-01,4,11,4,11,15
BELLA FLOR,internaciones,ingresos espontaneos,2017-01-01,0,2,0,2,2
BERMEJO,internaciones,ingresos espontaneos,2017-01-01,98,170,98,170,268
BETANZOS,internaciones,ingresos espontaneos,2017-01-01,3,17,3,17,20
BOLIVAR,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
BOYUIBE,internaciones,ingresos espontaneos,2017-01-01,5,31,5,31,36
BUENA VISTA,internaciones,ingresos espontaneos,2017-01-01,13,8,13,8,21
CABEZAS,internaciones,ingresos espontaneos,2017-01-01,4,21,4,21,25
"CAIZA ""D""",internaciones,ingresos espontaneos,2017-01-01,0,4,0,4,4
CAJUATA,internaciones,ingresos espontaneos,2017-01-01,0,17,0,17,17
CALACOTO,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2017-01-01,0,7,0,7,7
CAMARGO,internaciones,ingresos espontaneos,2017-01-01,45,47,45,47,92
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2017-01-01,0,3,0,3,3
CAMIRI,internaciones,ingresos espontaneos,2017-01-01,151,348,151,348,499
CAPINOTA,internaciones,ingresos espontaneos,2017-01-01,6,26,6,26,32
CAQUIAVIRI,internaciones,ingresos espontaneos,2017-01-01,0,2,0,2,2
CARACOLLO,internaciones,ingresos espontaneos,2017-01-01,7,46,7,46,53
CARANAVI,internaciones,ingresos espontaneos,2017-01-01,37,135,37,135,172
CARIPUYO,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2017-01-01,10,20,10,20,30
CHALLAPATA,internaciones,ingresos espontaneos,2017-01-01,24,123,24,123,147
CHAQUI,internaciones,ingresos espontaneos,2017-01-01,0,2,0,2,2
CHARAGUA,internaciones,ingresos espontaneos,2017-01-01,26,87,26,87,113
CHAYANTA,internaciones,ingresos espontaneos,2017-01-01,1,9,1,9,10
CHIMORE,internaciones,ingresos espontaneos,2017-01-01,0,21,0,21,21
CHIPAYA,internaciones,ingresos espontaneos,2017-01-01,0,1,0,1,1
