,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
PORCO,malaria,menores de 1 ano,2024-01-01,15.0,17.0,55.0,49.0,70.0,66.0,136.0
RIBERALTA,malaria,menores de 1 ano,2024-01-01,2.0,0.0,2.0,0.0,4.0,0.0,4.0
SENA,malaria,menores de 1 ano,2024-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2024-03-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SENA,malaria,menores de 1 ano,2024-03-01,2.0,1.0,0.0,1.0,2.0,2.0,4.0
WARNES,malaria,menores de 1 ano,2024-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
IXIAMAS,malaria,menores de 1 ano,2024-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2024-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2024-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2024-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SENA,malaria,menores de 1 ano,2024-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SENA,malaria,menores de 1 ano,2024-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2024-07-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
SAN LORENZO(PND),malaria,menores de 1 ano,2024-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,menores de 1 ano,2024-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA PAZ,malaria,menores de 1 ano,2024-08-01,45.0,57.0,29.0,30.0,74.0,87.0,161.0
RIBERALTA,malaria,menores de 1 ano,2024-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2024-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COLQUECHACA,malaria,menores de 1 ano,2024-10-01,34.0,0.0,0.0,0.0,34.0,0.0,34.0
MONTERO,malaria,menores de 1 ano,2024-10-01,13.0,9.0,57.0,60.0,70.0,69.0,139.0
RIBERALTA,malaria,menores de 1 ano,2024-10-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
RIBERALTA,malaria,menores de 1 ano,2024-11-01,4.0,3.0,0.0,0.0,4.0,3.0,7.0
