municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,4,13
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,53,53,40,93
ACHOCALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,14,18
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,73,73,75,148
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,0,2
ALCALA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,62,62,53,115
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,12,12,13,25
ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,0,2
ANTEQUERA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,2,4
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,18,18,30,48
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,28,28,25,53
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,6,21
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,36,36,60,96
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,8,18
ARQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,12,27
ATOCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,2,8
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,13,13,9,22
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,7,12
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,5,5,6,11
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,67,67,56,123
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,262,262,243,505
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,29,29,13,42
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,6,8
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,7,7,4,11
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,3,4
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,59,59,42,101
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,17,17,23,40
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,14,14,11,25
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,2,2,0,2
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,4,8
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,17,17,9,26
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,48,48,40,88
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,12,18
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,26,26,25,51
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,52,52,56,108
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,10,10,8,18
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,11,11,14,25
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,244,244,243,487
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,49,49,40,89
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,48,48,54,102
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,25,25,28,53
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,9,13
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,15,15,19,34
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,102,102,102,204
CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,4,4,2,6
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,4,13
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,17,17,17,34
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,9,9,6,15
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,0,1
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,104,104,97,201
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,6,6,3,9
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,32,32,33,65
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,1,1,1,2
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2006-01-01,17,17,13,30
