municipality,group,variable,month,Controles repetidos en niños de 2 años de < 5 NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,73,73,75,148
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,409,409,389,798
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,27,27,31,58
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,56,56,62,118
ALALAY,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,1,1,7,8
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,173,173,202,375
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,9,9,7,16
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,16,16,15,31
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,7,7,5,12
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,56,56,56,112
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,66,66,73,139
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,28,28,32,60
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,5,5,6,11
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,47,47,54,101
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,112,112,109,221
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos de 2 anos de < 5,2006-01-01,16,16,12,28
