municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,62,62,65,127
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,322,322,368,690
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,36,36,29,65
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,80,80,53,133
ALALAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,12,12,9,21
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,120,120,114,234
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,10,10,4,14
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,16,16,9,25
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,2,2,2,4
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,79,79,80,159
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,39,39,53,92
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,20,20,36,56
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,30,30,11,41
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,57,57,59,116
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,120,120,121,241
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,27,27,26,53
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,92,92,74,166
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,40,40,32,72
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,123,123,118,241
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,84,84,82,166
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,29,29,35,64
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,3,3,0,3
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,18,18,17,35
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,30,30,35,65
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,34,34,46,80
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,302,302,287,589
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,87,87,91,178
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,16,16,19,35
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,42,42,35,77
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,188,188,189,377
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,102,102,105,207
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,121,121,129,250
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,41,41,52,93
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,52,52,51,103
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,12,12,9,21
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,193,193,195,388
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,172,172,167,339
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,85,85,91,176
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,26,26,36,62
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,66,66,54,120
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,402,402,361,763
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,92,92,103,195
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,94,94,87,181
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,25,25,18,43
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,7,7,3,10
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,65,65,66,131
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,60,60,49,109
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,228,228,240,468
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,17,17,17,34
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,114,114,93,207
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,52,52,57,109
CHIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,15,15,13,28
CHOQUE COTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,6,6,8,14
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,26,26,27,53
CHUMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,63,63,56,119
CLIZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,97,97,85,182
COBIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,369,369,318,687
COCHABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,1908,1908,1545,3453
COLCAPIRHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,111,111,96,207
"COLCHA ""K""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,57,57,60,117
COLLANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,13,13,0,13
COLOMI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,60,60,43,103
COLPA BELGICA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,60,60,44,104
COLQUECHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-01-01,225,225,210,435
