municipality,group,variable,month,Controles nuevos en niños de 2 años a < de 5 a NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
ACHACACHI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,31,31,41,72
AIQUILE,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,48,48,56,104
ALALAY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,3,3
ALCALA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,71,71,70,141
ANCORAIMES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,3,10
ANZALDO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,19,19,16,35
APOLO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,33,33,17,50
ARAMPAMPA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,0,2
ARANI,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,42,42,36,78
ARBIETO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,7,7,15,22
AUCAPATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,15,15,8,23
AYATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,3,9
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,38,38,33,71
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,249,249,260,509
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,2,2,6,8
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,0,0,2,2
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,5,5,4,9
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,55,55,40,95
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,2,3
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,1,1,4,5
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,22,22,29,51
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,6,6,2,8
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,14,14,21,35
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,36,36,34,70
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos de 2 anos a < de 5 a,2006-01-01,3,3,2,5
