,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2022-01-01,1,2,1,2,3
ACHACACHI,internaciones,egresos,2022-01-01,16,74,16,74,90
ACHOCALLA,internaciones,egresos,2022-01-01,0,18,0,18,18
AIQUILE,internaciones,egresos,2022-01-01,15,39,15,39,54
ALTO BENI,internaciones,egresos,2022-01-01,0,11,0,11,11
ANCORAIMES,internaciones,egresos,2022-01-01,0,1,0,1,1
ANDAMARCA,internaciones,egresos,2022-01-01,0,2,0,2,2
ANZALDO,internaciones,egresos,2022-01-01,10,14,10,14,24
APOLO,internaciones,egresos,2022-01-01,1,15,1,15,16
ARAMPAMPA,internaciones,egresos,2022-01-01,0,2,0,2,2
ARANI,internaciones,egresos,2022-01-01,0,2,0,2,2
ARBIETO,internaciones,egresos,2022-01-01,0,6,0,6,6
ASCENCION DE GUARAYOS,internaciones,egresos,2022-01-01,60,165,60,165,225
ATOCHA,internaciones,egresos,2022-01-01,14,28,14,28,42
AYATA,internaciones,egresos,2022-01-01,0,4,0,4,4
AYO AYO,internaciones,egresos,2022-01-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2022-01-01,0,15,0,15,15
AZURDUY,internaciones,egresos,2022-01-01,6,21,6,21,27
BATALLAS,internaciones,egresos,2022-01-01,0,4,0,4,4
BAURES,internaciones,egresos,2022-01-01,8,11,8,11,19
BELLA FLOR,internaciones,egresos,2022-01-01,0,1,0,1,1
BERMEJO,internaciones,egresos,2022-01-01,94,121,94,121,215
BETANZOS,internaciones,egresos,2022-01-01,1,20,1,20,21
BOLIVAR,internaciones,egresos,2022-01-01,1,4,1,4,5
BOYUIBE,internaciones,egresos,2022-01-01,4,20,4,20,24
BUENA VISTA,internaciones,egresos,2022-01-01,16,12,16,12,28
CABEZAS,internaciones,egresos,2022-01-01,0,9,0,9,9
CAIROMA,internaciones,egresos,2022-01-01,0,2,0,2,2
"CAIZA ""D""",internaciones,egresos,2022-01-01,0,5,0,5,5
CAJUATA,internaciones,egresos,2022-01-01,2,10,2,10,12
CALAMARCA,internaciones,egresos,2022-01-01,0,4,0,4,4
CAMARGO,internaciones,egresos,2022-01-01,27,40,27,40,67
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2022-01-01,0,1,0,1,1
CAMIRI,internaciones,egresos,2022-01-01,80,179,80,179,259
CAPINOTA,internaciones,egresos,2022-01-01,4,34,4,34,38
CAQUIAVIRI,internaciones,egresos,2022-01-01,1,2,1,2,3
CARACOLLO,internaciones,egresos,2022-01-01,0,23,0,23,23
CARANAVI,internaciones,egresos,2022-01-01,18,81,18,81,99
CARIPUYO,internaciones,egresos,2022-01-01,1,3,1,3,4
CARMEN RIVERO TORREZ,internaciones,egresos,2022-01-01,19,32,19,32,51
CHALLAPATA,internaciones,egresos,2022-01-01,16,81,16,81,97
CHAQUI,internaciones,egresos,2022-01-01,0,1,0,1,1
CHARAGUA,internaciones,egresos,2022-01-01,38,80,38,80,118
CHAYANTA,internaciones,egresos,2022-01-01,0,3,0,3,3
CHIMORE,internaciones,egresos,2022-01-01,4,41,4,41,45
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2022-01-01,20,32,20,32,52
CHUMA,internaciones,egresos,2022-01-01,0,5,0,5,5
CKOCHAS,internaciones,egresos,2022-01-01,1,2,1,2,3
CLIZA,internaciones,egresos,2022-01-01,3,52,3,52,55
COBIJA,internaciones,egresos,2022-01-01,281,431,281,431,712
COCAPATA,internaciones,egresos,2022-01-01,0,7,0,7,7
COCHABAMBA,internaciones,egresos,2022-01-01,2492,4164,2492,4164,6656
COIPASA,internaciones,egresos,2022-01-01,0,4,0,4,4
COLCAPIRHUA,internaciones,egresos,2022-01-01,36,97,36,97,133
"COLCHA ""K""",internaciones,egresos,2022-01-01,3,6,3,6,9
COLLANA,internaciones,egresos,2022-01-01,0,1,0,1,1
COLOMI,internaciones,egresos,2022-01-01,0,20,0,20,20
COLPA BELGICA,internaciones,egresos,2022-01-01,3,4,3,4,7
