,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,1,1,1,2
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
ANZALDO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,6,0,6,0,6
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,8,2,8,2,10
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,1,1,1,2
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,3,1,3,1,4
CAPINOTA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,2,0,2,2
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,8,3,8,3,11
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,41,41,41,41,82
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,6,7,6,7,13
COLOMI,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
COROICO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,2,1,2,3
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,61,40,61,40,101
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,0,1,0,1
ENTRE RIOS CBBA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,0,1,0,1
ESCOMA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,2,2,2,2,4
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,3,2,3,2,5
HUARACAJE,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,8,11,8,11,19
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,4,2,4,2,6
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,20,14,20,14,34
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,2,0,2,0,2
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,2,0,2,0,2
MAPIRI,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
MINEROS,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,2,1,2,3
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,17,14,17,14,31
ORURO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,21,19,21,19,40
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,2,0,2,0,2
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,20,11,20,11,31
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,3,1,3,4
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,9,0,9,0,9
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,8,5,8,5,13
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,0,1,0,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2022-01-01,1,1,1,1,2
