,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2022-01-01,2,10,2,10,12
AIQUILE,internaciones,contrareferidos,2022-01-01,0,4,0,4,4
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2022-01-01,14,7,14,7,21
BERMEJO,internaciones,contrareferidos,2022-01-01,50,82,50,82,132
CAMARGO,internaciones,contrareferidos,2022-01-01,10,18,10,18,28
CAMIRI,internaciones,contrareferidos,2022-01-01,0,54,0,54,54
CAPINOTA,internaciones,contrareferidos,2022-01-01,0,4,0,4,4
CARANAVI,internaciones,contrareferidos,2022-01-01,4,15,4,15,19
CHARAGUA,internaciones,contrareferidos,2022-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2022-01-01,3,3,3,3,6
COBIJA,internaciones,contrareferidos,2022-01-01,55,66,55,66,121
COCHABAMBA,internaciones,contrareferidos,2022-01-01,153,669,153,669,822
COLCAPIRHUA,internaciones,contrareferidos,2022-01-01,0,1,0,1,1
COROICO,internaciones,contrareferidos,2022-01-01,10,40,10,40,50
EL ALTO,internaciones,contrareferidos,2022-01-01,113,272,113,272,385
EL TORNO,internaciones,contrareferidos,2022-01-01,4,3,4,3,7
ESCOMA,internaciones,contrareferidos,2022-01-01,0,2,0,2,2
GUAYARAMERIN,internaciones,contrareferidos,2022-01-01,21,110,21,110,131
HUANUNI,internaciones,contrareferidos,2022-01-01,0,3,0,3,3
LA PAZ,internaciones,contrareferidos,2022-01-01,59,659,59,659,718
MIZQUE,internaciones,contrareferidos,2022-01-01,0,2,0,2,2
MONTEAGUDO,internaciones,contrareferidos,2022-01-01,17,22,17,22,39
MONTERO,internaciones,contrareferidos,2022-01-01,101,271,101,271,372
ORURO,internaciones,contrareferidos,2022-01-01,85,283,85,283,368
PADILLA,internaciones,contrareferidos,2022-01-01,9,17,9,17,26
POTOSI,internaciones,contrareferidos,2022-01-01,63,441,63,441,504
PUERTO VILLARROEL,internaciones,contrareferidos,2022-01-01,39,171,39,171,210
PUNATA,internaciones,contrareferidos,2022-01-01,83,231,83,231,314
RIBERALTA,internaciones,contrareferidos,2022-01-01,91,422,91,422,513
RURRENABAQUE,internaciones,contrareferidos,2022-01-01,0,6,0,6,6
SACABA,internaciones,contrareferidos,2022-01-01,25,131,25,131,156
SAN IGNACIO,internaciones,contrareferidos,2022-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2022-01-01,3,3,3,3,6
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2022-01-01,1,0,1,0,1
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2022-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2022-01-01,214,1622,214,1622,1836
SOPACHUY,internaciones,contrareferidos,2022-01-01,0,1,0,1,1
SUCRE,internaciones,contrareferidos,2022-01-01,249,662,249,662,911
TARABUCO,internaciones,contrareferidos,2022-01-01,10,12,10,12,22
TARIJA,internaciones,contrareferidos,2022-01-01,86,273,86,273,359
TRINIDAD,internaciones,contrareferidos,2022-01-01,6,3,6,3,9
TUPIZA,internaciones,contrareferidos,2022-01-01,9,52,9,52,61
VALLEGRANDE,internaciones,contrareferidos,2022-01-01,0,1,0,1,1
VIACHA,internaciones,contrareferidos,2022-01-01,1,2,1,2,3
VILLA MONTES,internaciones,contrareferidos,2022-01-01,8,18,8,18,26
VILLA TUNARI,internaciones,contrareferidos,2022-01-01,19,98,19,98,117
VILLAZON,internaciones,contrareferidos,2022-01-01,1,2,1,2,3
VINTO,internaciones,contrareferidos,2022-01-01,0,1,0,1,1
YACUIBA,internaciones,contrareferidos,2022-01-01,98,171,98,171,269
ACHACACHI,internaciones,contrareferidos,2022-02-01,0,4,0,4,4
AIQUILE,internaciones,contrareferidos,2022-02-01,8,6,8,6,14
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2022-02-01,2,15,2,15,17
BERMEJO,internaciones,contrareferidos,2022-02-01,63,69,63,69,132
