municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,589,589
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,837,837
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,291,291
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,527,527
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,60,60
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,372,372
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,93,93
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2139,2139
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1116,1116
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,651,651
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,775,775
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,2108,2108
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,796,796
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,219,219
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,240,240
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,310,310
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1240,1240
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1271,1271
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,651,651
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,899,899
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,558,558
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,61,61
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,361,361
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-01-01,1890,1890
