municipality,group,variable,month,8. Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,101,101
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,164,164
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,17,17
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,43,43
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,767,767
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,345,345
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,26,26
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,62,62
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,78,78
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,834,834
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,7,7
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,46,46
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,29,29
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,220,220
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,1,1
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,31,31
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,364,364
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,618,618
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,132,132
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,5,5
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,543,543
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,42,42
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,63,63
CATACORA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,9,9
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,417,417
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-01-01,231,231
