,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,0,0,0,0
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,3,1,3,4
BUENA VISTA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,1,1,1,2
CALAMARCA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,2,1,2,3
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,0,1,0,1
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,2,0,2,0,2
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,44,41,44,41,85
COLCAPIRHUA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,0,1,0,1
COROICO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,2,0,2,2
CURAHUARA DE CARANGAS,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,8,13,8,13,21
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,2,1,2,3
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,4,0,4,0,4
HUACARETA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
LA GUARDIA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,32,20,32,20,52
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,1,1,1,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,2,1,2,1,3
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,7,4,7,4,11
ORURO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,30,18,30,18,48
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,10,11,10,11,21
PUCARANI,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,2,0,2,2
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,2,0,2,0,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,2,0,2,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,2,1,2,3
REYES,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,4,2,4,2,6
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
SACABA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,1,1,1,2
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,1,2,1,2,3
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,2,1,2,1,3
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2019-01-01,0,1,0,1,1
