,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
COPACABANA,internaciones,egresos,2019-01-01,0,13,0,13,13
CORIPATA,internaciones,egresos,2019-01-01,0,5,0,5,5
CORO CORO,internaciones,egresos,2019-01-01,0,1,0,1,1
COROICO,internaciones,egresos,2019-01-01,20,65,20,65,85
CORQUE,internaciones,egresos,2019-01-01,0,1,0,1,1
COTAGAITA,internaciones,egresos,2019-01-01,2,14,2,14,16
COTOCA,internaciones,egresos,2019-01-01,49,164,49,164,213
CUATRO CAÑADAS,internaciones,egresos,2019-01-01,22,24,22,24,46
CULPINA,internaciones,egresos,2019-01-01,7,38,7,38,45
CURAHUARA DE CARANGAS,internaciones,egresos,2019-01-01,0,1,0,1,1
DESAGUADERO,internaciones,egresos,2019-01-01,0,7,0,7,7
EL ALTO,internaciones,egresos,2019-01-01,1046,2872,1046,2872,3918
EL PUENTE(STC),internaciones,egresos,2019-01-01,27,25,27,25,52
EL PUENTE(TJA),internaciones,egresos,2019-01-01,0,2,0,2,2
EL TORNO,internaciones,egresos,2019-01-01,231,396,231,396,627
EL VILLAR,internaciones,egresos,2019-01-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,egresos,2019-01-01,5,16,5,16,21
ENTRE RIOS CBBA,internaciones,egresos,2019-01-01,6,41,6,41,47
ESCOMA,internaciones,egresos,2019-01-01,1,11,1,11,12
EUCALIPTUS,internaciones,egresos,2019-01-01,0,1,0,1,1
EXALTACION,internaciones,egresos,2019-01-01,1,4,1,4,5
FERNANDEZ ALONSO,internaciones,egresos,2019-01-01,6,9,6,9,15
FILADELFIA,internaciones,egresos,2019-01-01,1,9,1,9,10
GENERAL SAAVEDRA,internaciones,egresos,2019-01-01,2,17,2,17,19
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2019-01-01,0,1,0,1,1
GUANAY,internaciones,egresos,2019-01-01,4,18,4,18,22
GUAQUI,internaciones,egresos,2019-01-01,0,3,0,3,3
GUAYARAMERIN,internaciones,egresos,2019-01-01,143,319,143,319,462
GUTIERREZ,internaciones,egresos,2019-01-01,16,29,16,29,45
HUACARETA,internaciones,egresos,2019-01-01,5,18,5,18,23
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2019-01-01,0,4,0,4,4
HUACHACALLA,internaciones,egresos,2019-01-01,0,1,0,1,1
HUANUNI,internaciones,egresos,2019-01-01,97,102,97,102,199
HUARACAJE,internaciones,egresos,2019-01-01,3,11,3,11,14
HUARINA,internaciones,egresos,2019-01-01,0,2,0,2,2
HUATAJATA,internaciones,egresos,2019-01-01,0,2,0,2,2
HUAYLLAMARCA,internaciones,egresos,2019-01-01,0,2,0,2,2
ICHOCA,internaciones,egresos,2019-01-01,0,1,0,1,1
ICLA,internaciones,egresos,2019-01-01,0,2,0,2,2
INCAHUASI,internaciones,egresos,2019-01-01,2,20,2,20,22
INQUISIVI,internaciones,egresos,2019-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),internaciones,egresos,2019-01-01,13,15,13,15,28
IXIAMAS,internaciones,egresos,2019-01-01,3,19,3,19,22
JESUS DE MACHACA,internaciones,egresos,2019-01-01,0,7,0,7,7
LA ASUNTA,internaciones,egresos,2019-01-01,0,52,0,52,52
LA GUARDIA,internaciones,egresos,2019-01-01,48,139,48,139,187
LA PAZ,internaciones,egresos,2019-01-01,2749,5135,2749,5135,7884
LAGUNILLAS,internaciones,egresos,2019-01-01,0,7,0,7,7
LAJA,internaciones,egresos,2019-01-01,0,11,0,11,11
LAS CARRERAS,internaciones,egresos,2019-01-01,0,4,0,4,4
LLALLAGUA,internaciones,egresos,2019-01-01,92,209,92,209,301
LLICA,internaciones,egresos,2019-01-01,0,4,0,4,4
LORETO,internaciones,egresos,2019-01-01,1,0,1,0,1
MACHACAMARCA,internaciones,egresos,2019-01-01,0,1,0,1,1
MACHARETI,internaciones,egresos,2019-01-01,6,8,6,8,14
MAGDALENA,internaciones,egresos,2019-01-01,27,60,27,60,87
MAIRANA,internaciones,egresos,2019-01-01,5,34,5,34,39
MAPIRI,internaciones,egresos,2019-01-01,4,35,4,35,39
MINEROS,internaciones,egresos,2019-01-01,8,15,8,15,23
MIZQUE,internaciones,egresos,2019-01-01,18,40,18,40,58
MOCOMOCO,internaciones,egresos,2019-01-01,2,0,2,0,2
MOJOCOYA,internaciones,egresos,2019-01-01,0,4,0,4,4
MONTEAGUDO,internaciones,egresos,2019-01-01,73,122,73,122,195
MONTERO,internaciones,egresos,2019-01-01,389,697,389,697,1086
MOROCHATA,internaciones,egresos,2019-01-01,0,3,0,3,3
OCURI,internaciones,egresos,2019-01-01,0,8,0,8,8
OKINAWA,internaciones,egresos,2019-01-01,3,10,3,10,13
OMEREQUE,internaciones,egresos,2019-01-01,1,8,1,8,9
ORURO,internaciones,egresos,2019-01-01,1059,2123,1059,2123,3182
PADILLA,internaciones,egresos,2019-01-01,45,70,45,70,115
PAILON,internaciones,egresos,2019-01-01,30,90,30,90,120
PALOS BLANCOS,internaciones,egresos,2019-01-01,8,43,8,43,51
PAMPA AULLAGAS,internaciones,egresos,2019-01-01,0,1,0,1,1
PAMPA GRANDE,internaciones,egresos,2019-01-01,1,5,1,5,6
PAPEL PAMPA,internaciones,egresos,2019-01-01,0,3,0,3,3
PASORAPA,internaciones,egresos,2019-01-01,3,2,3,2,5
PATACAMAYA,internaciones,egresos,2019-01-01,12,60,12,60,72
POCOATA,internaciones,egresos,2019-01-01,0,7,0,7,7
POCONA,internaciones,egresos,2019-01-01,0,8,0,8,8
POJO (CBBA),internaciones,egresos,2019-01-01,1,15,1,15,16
POOPO,internaciones,egresos,2019-01-01,0,1,0,1,1
PORCO,internaciones,egresos,2019-01-01,6,12,6,12,18
POROMA,internaciones,egresos,2019-01-01,0,5,0,5,5
PORONGO,internaciones,egresos,2019-01-01,9,18,9,18,27
PORTACHUELO,internaciones,egresos,2019-01-01,77,105,77,105,182
PORVENIR,internaciones,egresos,2019-01-01,1,6,1,6,7
POSTRER VALLE,internaciones,egresos,2019-01-01,6,5,6,5,11
POTOSI,internaciones,egresos,2019-01-01,790,1573,790,1573,2363
PRESTO,internaciones,egresos,2019-01-01,6,8,6,8,14
PUCARANI,internaciones,egresos,2019-01-01,0,10,0,10,10
PUERTO ACOSTA,internaciones,egresos,2019-01-01,0,2,0,2,2
PUERTO CARABUCO,internaciones,egresos,2019-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,egresos,2019-01-01,2,4,2,4,6
PUERTO QUIJARRO,internaciones,egresos,2019-01-01,12,17,12,17,29
PUERTO RICO,internaciones,egresos,2019-01-01,4,17,4,17,21
PUERTO SILES,internaciones,egresos,2019-01-01,1,1,1,1,2
PUERTO SUAREZ,internaciones,egresos,2019-01-01,50,76,50,76,126
PUERTO VILLARROEL,internaciones,egresos,2019-01-01,100,291,100,291,391
PUNA,internaciones,egresos,2019-01-01,0,6,0,6,6
PUNATA,internaciones,egresos,2019-01-01,98,227,98,227,325
QUILLACOLLO,internaciones,egresos,2019-01-01,72,428,72,428,500
QUIME,internaciones,egresos,2019-01-01,0,4,0,4,4
QUIRUSILLAS,internaciones,egresos,2019-01-01,0,2,0,2,2
RAQAYPAMPA(ETA),internaciones,egresos,2019-01-01,0,2,0,2,2
RAVELO,internaciones,egresos,2019-01-01,0,2,0,2,2
REYES,internaciones,egresos,2019-01-01,6,24,6,24,30
RIBERALTA,internaciones,egresos,2019-01-01,216,657,216,657,873
ROBORE,internaciones,egresos,2019-01-01,55,77,55,77,132
RURRENABAQUE,internaciones,egresos,2019-01-01,36,74,36,74,110
SACABA,internaciones,egresos,2019-01-01,161,675,161,675,836
SACABAMBA,internaciones,egresos,2019-01-01,3,9,3,9,12
SACACA,internaciones,egresos,2019-01-01,0,7,0,7,7
SAIPINA,internaciones,egresos,2019-01-01,4,4,4,4,8
SALINAS DE GARCI MENDOZA,internaciones,egresos,2019-01-01,0,5,0,5,5
SAMAIPATA,internaciones,egresos,2019-01-01,1,11,1,11,12
SAN ANTONIO DE LOMERIO,internaciones,egresos,2019-01-01,9,6,9,6,15
SAN BENITO,internaciones,egresos,2019-01-01,0,1,0,1,1
SAN BORJA,internaciones,egresos,2019-01-01,41,145,41,145,186
SAN BUENA VENTURA,internaciones,egresos,2019-01-01,13,50,13,50,63
SAN CARLOS,internaciones,egresos,2019-01-01,0,8,0,8,8
SAN IGNACIO,internaciones,egresos,2019-01-01,13,78,13,78,91
SAN IGNACIO DE VELASCO,internaciones,egresos,2019-01-01,157,298,157,298,455
SAN JAVIER(STC),internaciones,egresos,2019-01-01,9,35,9,35,44
SAN JOAQUIN,internaciones,egresos,2019-01-01,16,34,16,34,50
SAN JOSE DE CHIQUITOS,internaciones,egresos,2019-01-01,80,154,80,154,234
SAN JUAN DE YAPACANI,internaciones,egresos,2019-01-01,1,2,1,2,3
SAN JULIAN,internaciones,egresos,2019-01-01,80,161,80,161,241
SAN LORENZO(TJA),internaciones,egresos,2019-01-01,0,3,0,3,3
SAN LUCAS,internaciones,egresos,2019-01-01,17,51,17,51,68
SAN MATIAS,internaciones,egresos,2019-01-01,30,44,30,44,74
SAN MIGUEL DE VELASCO,internaciones,egresos,2019-01-01,13,27,13,27,40
SAN PEDRO,internaciones,egresos,2019-01-01,11,22,11,22,33
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2019-01-01,0,10,0,10,10
SAN PEDRO DE CURAHUARA,internaciones,egresos,2019-01-01,0,2,0,2,2
SAN PEDRO DE TIQUINA,internaciones,egresos,2019-01-01,1,4,1,4,5
SAN RAFAEL,internaciones,egresos,2019-01-01,4,19,4,19,23
SAN RAMON BENI,internaciones,egresos,2019-01-01,8,13,8,13,21
SAN RAMON SCZ,internaciones,egresos,2019-01-01,12,41,12,41,53
SANTA ANA,internaciones,egresos,2019-01-01,24,44,24,44,68
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2019-01-01,4604,8473,4604,8473,13077
SANTA ROSA,internaciones,egresos,2019-01-01,6,29,6,29,35
SANTA ROSA DEL SARA,internaciones,egresos,2019-01-01,27,41,27,41,68
SANTIAGO DE HUATA,internaciones,egresos,2019-01-01,0,4,0,4,4
SANTIVAÑES,internaciones,egresos,2019-01-01,0,3,0,3,3
SAPAHAQUI,internaciones,egresos,2019-01-01,0,2,0,2,2
SENA,internaciones,egresos,2019-01-01,1,14,1,14,15
SHINAOTA,internaciones,egresos,2019-01-01,8,39,8,39,47
SICA SICA (VILLA AROMA),internaciones,egresos,2019-01-01,0,6,0,6,6
SIPE SIPE,internaciones,egresos,2019-01-01,0,33,0,33,33
SOPACHUY,internaciones,egresos,2019-01-01,1,1,1,1,2
SORATA,internaciones,egresos,2019-01-01,2,10,2,10,12
SUCRE,internaciones,egresos,2019-01-01,1401,2583,1401,2583,3984
TACACOMA,internaciones,egresos,2019-01-01,0,3,0,3,3
TACOPAYA,internaciones,egresos,2019-01-01,3,4,3,4,7
TAPACARI,internaciones,egresos,2019-01-01,0,2,0,2,2
TARABUCO,internaciones,egresos,2019-01-01,52,80,52,80,132
TARIJA,internaciones,egresos,2019-01-01,755,1563,755,1563,2318
TARVITA,internaciones,egresos,2019-01-01,5,27,5,27,32
TEOPONTE,internaciones,egresos,2019-01-01,0,15,0,15,15
TIAHUANACU,internaciones,egresos,2019-01-01,0,8,0,8,8
TIPUANI,internaciones,egresos,2019-01-01,0,10,0,10,10
TIQUIPAYA,internaciones,egresos,2019-01-01,12,39,12,39,51
TIRAQUE (CBBA),internaciones,egresos,2019-01-01,0,18,0,18,18
TOCO,internaciones,egresos,2019-01-01,0,5,0,5,5
TOLATA,internaciones,egresos,2019-01-01,0,4,0,4,4
TOMAVE,internaciones,egresos,2019-01-01,0,4,0,4,4
TOMINA,internaciones,egresos,2019-01-01,0,16,0,16,16
TORO TORO,internaciones,egresos,2019-01-01,0,9,0,9,9
TOTORA(CBBA),internaciones,egresos,2019-01-01,10,28,10,28,38
TOTORA(ORR),internaciones,egresos,2019-01-01,0,1,0,1,1
TRIGAL,internaciones,egresos,2019-01-01,1,2,1,2,3
TRINIDAD,internaciones,egresos,2019-01-01,434,886,434,886,1320
TUPIZA,internaciones,egresos,2019-01-01,123,224,123,224,347
UNCIA,internaciones,egresos,2019-01-01,0,9,0,9,9
URUBICHA,internaciones,egresos,2019-01-01,6,23,6,23,29
UYUNI,internaciones,egresos,2019-01-01,30,124,30,124,154
VACAS,internaciones,egresos,2019-01-01,0,4,0,4,4
VALLEGRANDE,internaciones,egresos,2019-01-01,57,99,57,99,156
VIACHA,internaciones,egresos,2019-01-01,50,156,50,156,206
VILA VILA,internaciones,egresos,2019-01-01,0,1,0,1,1
VILLA CHARCAS,internaciones,egresos,2019-01-01,0,8,0,8,8
VILLA MONTES,internaciones,egresos,2019-01-01,64,154,64,154,218
VILLA RIVERO,internaciones,egresos,2019-01-01,1,9,1,9,10
VILLA SERRANO,internaciones,egresos,2019-01-01,1,1,1,1,2
VILLA TUNARI,internaciones,egresos,2019-01-01,95,199,95,199,294
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,egresos,2019-01-01,19,23,19,23,42
VILLAZON,internaciones,egresos,2019-01-01,45,110,45,110,155
VINTO,internaciones,egresos,2019-01-01,37,84,37,84,121
VITICHI,internaciones,egresos,2019-01-01,0,1,0,1,1
WALDO BALLIVIAN,internaciones,egresos,2019-01-01,0,1,0,1,1
WARNES,internaciones,egresos,2019-01-01,45,88,45,88,133
YACO,internaciones,egresos,2019-01-01,0,2,0,2,2
YACUIBA,internaciones,egresos,2019-01-01,275,583,275,583,858
YAMPARAEZ,internaciones,egresos,2019-01-01,0,5,0,5,5
YANACACHI,internaciones,egresos,2019-01-01,0,1,0,1,1
YAPACANI,internaciones,egresos,2019-01-01,113,93,113,93,206
YOTALA,internaciones,egresos,2019-01-01,1,12,1,12,13
YUNCHARA,internaciones,egresos,2019-01-01,0,1,0,1,1
ZUDAÑEZ,internaciones,egresos,2019-01-01,1,23,1,23,24
ACACIO,internaciones,egresos,2019-02-01,0,2,0,2,2
ACHACACHI,internaciones,egresos,2019-02-01,4,43,4,43,47
AIQUILE,internaciones,egresos,2019-02-01,31,84,31,84,115
ALALAY,internaciones,egresos,2019-02-01,0,2,0,2,2
ALTO BENI,internaciones,egresos,2019-02-01,0,8,0,8,8
ANZALDO,internaciones,egresos,2019-02-01,11,16,11,16,27
APOLO,internaciones,egresos,2019-02-01,1,18,1,18,19
ARANI,internaciones,egresos,2019-02-01,0,4,0,4,4
ARBIETO,internaciones,egresos,2019-02-01,0,5,0,5,5
ARQUE,internaciones,egresos,2019-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,egresos,2019-02-01,59,138,59,138,197
ATOCHA,internaciones,egresos,2019-02-01,41,48,41,48,89
AUCAPATA,internaciones,egresos,2019-02-01,0,1,0,1,1
AYATA,internaciones,egresos,2019-02-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2019-02-01,0,7,0,7,7
AZURDUY,internaciones,egresos,2019-02-01,4,7,4,7,11
BATALLAS,internaciones,egresos,2019-02-01,0,4,0,4,4
BAURES,internaciones,egresos,2019-02-01,4,15,4,15,19
BELLA FLOR,internaciones,egresos,2019-02-01,0,2,0,2,2
BERMEJO,internaciones,egresos,2019-02-01,83,196,83,196,279
BETANZOS,internaciones,egresos,2019-02-01,0,15,0,15,15
BOLPEBRA,internaciones,egresos,2019-02-01,0,1,0,1,1
BOYUIBE,internaciones,egresos,2019-02-01,4,7,4,7,11
BUENA VISTA,internaciones,egresos,2019-02-01,10,36,10,36,46
CABEZAS,internaciones,egresos,2019-02-01,0,16,0,16,16
CAIROMA,internaciones,egresos,2019-02-01,0,2,0,2,2
CAJUATA,internaciones,egresos,2019-02-01,0,6,0,6,6
CALAMARCA,internaciones,egresos,2019-02-01,0,6,0,6,6
CAMARGO,internaciones,egresos,2019-02-01,36,73,36,73,109
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2019-02-01,1,3,1,3,4
CAMIRI,internaciones,egresos,2019-02-01,149,321,149,321,470
CAPINOTA,internaciones,egresos,2019-02-01,9,37,9,37,46
CAQUIAVIRI,internaciones,egresos,2019-02-01,0,1,0,1,1
CARACOLLO,internaciones,egresos,2019-02-01,0,12,0,12,12
CARANAVI,internaciones,egresos,2019-02-01,31,150,31,150,181
CARAPARI,internaciones,egresos,2019-02-01,1,4,1,4,5
CARMEN RIVERO TORREZ,internaciones,egresos,2019-02-01,6,12,6,12,18
CHALLAPATA,internaciones,egresos,2019-02-01,16,95,16,95,111
CHAQUI,internaciones,egresos,2019-02-01,0,5,0,5,5
CHARAGUA,internaciones,egresos,2019-02-01,34,99,34,99,133
CHIMORE,internaciones,egresos,2019-02-01,9,24,9,24,33
CHUA COCANI,internaciones,egresos,2019-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2019-02-01,34,82,34,82,116
CHUMA,internaciones,egresos,2019-02-01,1,6,1,6,7
CKOCHAS,internaciones,egresos,2019-02-01,0,4,0,4,4
CLIZA,internaciones,egresos,2019-02-01,8,60,8,60,68
COBIJA,internaciones,egresos,2019-02-01,204,450,204,450,654
COCAPATA,internaciones,egresos,2019-02-01,0,7,0,7,7
COCHABAMBA,internaciones,egresos,2019-02-01,2974,5217,2974,5217,8191
COLCAPIRHUA,internaciones,egresos,2019-02-01,36,108,36,108,144
"COLCHA ""K""",internaciones,egresos,2019-02-01,4,3,4,3,7
COLLANA,internaciones,egresos,2019-02-01,0,1,0,1,1
COLOMI,internaciones,egresos,2019-02-01,0,21,0,21,21
COLPA BELGICA,internaciones,egresos,2019-02-01,9,7,9,7,16
COLQUECHACA,internaciones,egresos,2019-02-01,1,17,1,17,18
COLQUENCHA,internaciones,egresos,2019-02-01,0,11,0,11,11
COLQUIRI,internaciones,egresos,2019-02-01,0,7,0,7,7
COMARAPA,internaciones,egresos,2019-02-01,1,43,1,43,44
CONCEPCION,internaciones,egresos,2019-02-01,21,75,21,75,96
COPACABANA,internaciones,egresos,2019-02-01,0,3,0,3,3
CORIPATA,internaciones,egresos,2019-02-01,0,5,0,5,5
COROICO,internaciones,egresos,2019-02-01,27,81,27,81,108
COTAGAITA,internaciones,egresos,2019-02-01,6,21,6,21,27
COTOCA,internaciones,egresos,2019-02-01,82,168,82,168,250
CUATRO CAÑADAS,internaciones,egresos,2019-02-01,13,22,13,22,35
CUCHUMUELA (V. G. VILLARROEL),internaciones,egresos,2019-02-01,0,1,0,1,1
CUEVO,internaciones,egresos,2019-02-01,4,5,4,5,9
CULPINA,internaciones,egresos,2019-02-01,5,36,5,36,41
CURAHUARA DE CARANGAS,internaciones,egresos,2019-02-01,0,3,0,3,3
CURVA,internaciones,egresos,2019-02-01,0,2,0,2,2
DESAGUADERO,internaciones,egresos,2019-02-01,0,6,0,6,6
EL ALTO,internaciones,egresos,2019-02-01,871,2460,871,2460,3331
EL PUENTE(STC),internaciones,egresos,2019-02-01,21,24,21,24,45
EL PUENTE(TJA),internaciones,egresos,2019-02-01,0,1,0,1,1
EL TORNO,internaciones,egresos,2019-02-01,167,336,167,336,503
EL VILLAR,internaciones,egresos,2019-02-01,0,3,0,3,3
ENTRE RIOS TRJ,internaciones,egresos,2019-02-01,4,16,4,16,20
ENTRE RIOS CBBA,internaciones,egresos,2019-02-01,3,28,3,28,31
ESCOMA,internaciones,egresos,2019-02-01,1,7,1,7,8
EUCALIPTUS,internaciones,egresos,2019-02-01,0,2,0,2,2
EXALTACION,internaciones,egresos,2019-02-01,1,2,1,2,3
FERNANDEZ ALONSO,internaciones,egresos,2019-02-01,2,8,2,8,10
FILADELFIA,internaciones,egresos,2019-02-01,5,8,5,8,13
GENERAL SAAVEDRA,internaciones,egresos,2019-02-01,4,36,4,36,40
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2019-02-01,0,1,0,1,1
GUANAY,internaciones,egresos,2019-02-01,6,22,6,22,28
GUAYARAMERIN,internaciones,egresos,2019-02-01,134,300,134,300,434
GUTIERREZ,internaciones,egresos,2019-02-01,22,34,22,34,56
HUACARETA,internaciones,egresos,2019-02-01,0,18,0,18,18
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2019-02-01,1,4,1,4,5
HUANUNI,internaciones,egresos,2019-02-01,63,101,63,101,164
HUARACAJE,internaciones,egresos,2019-02-01,3,9,3,9,12
HUARINA,internaciones,egresos,2019-02-01,0,3,0,3,3
HUAYLLAMARCA,internaciones,egresos,2019-02-01,0,1,0,1,1
ICHOCA,internaciones,egresos,2019-02-01,0,2,0,2,2
ICLA,internaciones,egresos,2019-02-01,0,2,0,2,2
INCAHUASI,internaciones,egresos,2019-02-01,4,5,4,5,9
IRUPANA (VILLA DE LANZA),internaciones,egresos,2019-02-01,9,12,9,12,21
IXIAMAS,internaciones,egresos,2019-02-01,13,11,13,11,24
JESUS DE MACHACA,internaciones,egresos,2019-02-01,0,10,0,10,10
LA ASUNTA,internaciones,egresos,2019-02-01,4,35,4,35,39
LA GUARDIA,internaciones,egresos,2019-02-01,57,128,57,128,185
LA PAZ,internaciones,egresos,2019-02-01,3131,5229,3131,5229,8360
LAGUNILLAS,internaciones,egresos,2019-02-01,1,5,1,5,6
LAJA,internaciones,egresos,2019-02-01,0,3,0,3,3
LLALLAGUA,internaciones,egresos,2019-02-01,76,163,76,163,239
LLICA,internaciones,egresos,2019-02-01,0,4,0,4,4
MACHACAMARCA,internaciones,egresos,2019-02-01,0,2,0,2,2
MACHARETI,internaciones,egresos,2019-02-01,7,13,7,13,20
MAGDALENA,internaciones,egresos,2019-02-01,21,42,21,42,63
MAIRANA,internaciones,egresos,2019-02-01,4,31,4,31,35
MAPIRI,internaciones,egresos,2019-02-01,18,45,18,45,63
MINEROS,internaciones,egresos,2019-02-01,9,27,9,27,36
MIZQUE,internaciones,egresos,2019-02-01,13,34,13,34,47
MOJOCOYA,internaciones,egresos,2019-02-01,1,6,1,6,7
MONTEAGUDO,internaciones,egresos,2019-02-01,55,110,55,110,165
MONTERO,internaciones,egresos,2019-02-01,377,733,377,733,1110
MOROCHATA,internaciones,egresos,2019-02-01,1,9,1,9,10
OCURI,internaciones,egresos,2019-02-01,2,11,2,11,13
OKINAWA,internaciones,egresos,2019-02-01,1,4,1,4,5
OMEREQUE,internaciones,egresos,2019-02-01,6,13,6,13,19
ORURO,internaciones,egresos,2019-02-01,848,1816,848,1816,2664
PADILLA,internaciones,egresos,2019-02-01,44,73,44,73,117
PAILON,internaciones,egresos,2019-02-01,21,70,21,70,91
PALOS BLANCOS,internaciones,egresos,2019-02-01,19,51,19,51,70
PAMPA AULLAGAS,internaciones,egresos,2019-02-01,0,1,0,1,1
PAMPA GRANDE,internaciones,egresos,2019-02-01,0,8,0,8,8
PAPEL PAMPA,internaciones,egresos,2019-02-01,0,4,0,4,4
PASORAPA,internaciones,egresos,2019-02-01,2,0,2,0,2
PATACAMAYA,internaciones,egresos,2019-02-01,4,46,4,46,50
PELECHUCO,internaciones,egresos,2019-02-01,1,1,1,1,2
POCOATA,internaciones,egresos,2019-02-01,0,2,0,2,2
POCONA,internaciones,egresos,2019-02-01,0,8,0,8,8
POJO (CBBA),internaciones,egresos,2019-02-01,0,16,0,16,16
POOPO,internaciones,egresos,2019-02-01,0,1,0,1,1
PORCO,internaciones,egresos,2019-02-01,3,14,3,14,17
POROMA,internaciones,egresos,2019-02-01,0,10,0,10,10
