,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2019-01-01,1,3,1,3,4
AIQUILE,internaciones,contrareferidos,2019-01-01,1,4,1,4,5
ANZALDO,internaciones,contrareferidos,2019-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2019-01-01,9,10,9,10,19
ATOCHA,internaciones,contrareferidos,2019-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2019-01-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2019-01-01,7,14,7,14,21
CAMARGO,internaciones,contrareferidos,2019-01-01,5,22,5,22,27
CAMIRI,internaciones,contrareferidos,2019-01-01,1,7,1,7,8
CARANAVI,internaciones,contrareferidos,2019-01-01,11,29,11,29,40
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2019-01-01,2,0,2,0,2
COBIJA,internaciones,contrareferidos,2019-01-01,31,186,31,186,217
COCHABAMBA,internaciones,contrareferidos,2019-01-01,106,480,106,480,586
COMARAPA,internaciones,contrareferidos,2019-01-01,0,12,0,12,12
COROICO,internaciones,contrareferidos,2019-01-01,0,6,0,6,6
CULPINA,internaciones,contrareferidos,2019-01-01,0,1,0,1,1
EL ALTO,internaciones,contrareferidos,2019-01-01,37,132,37,132,169
LA PAZ,internaciones,contrareferidos,2019-01-01,66,272,66,272,338
MINEROS,internaciones,contrareferidos,2019-01-01,3,2,3,2,5
MIZQUE,internaciones,contrareferidos,2019-01-01,2,1,2,1,3
MONTEAGUDO,internaciones,contrareferidos,2019-01-01,15,29,15,29,44
MONTERO,internaciones,contrareferidos,2019-01-01,73,335,73,335,408
ORURO,internaciones,contrareferidos,2019-01-01,13,18,13,18,31
PADILLA,internaciones,contrareferidos,2019-01-01,11,17,11,17,28
PORCO,internaciones,contrareferidos,2019-01-01,0,8,0,8,8
POTOSI,internaciones,contrareferidos,2019-01-01,38,52,38,52,90
PUERTO SUAREZ,internaciones,contrareferidos,2019-01-01,1,4,1,4,5
PUERTO VILLARROEL,internaciones,contrareferidos,2019-01-01,6,7,6,7,13
PUNATA,internaciones,contrareferidos,2019-01-01,20,76,20,76,96
QUILLACOLLO,internaciones,contrareferidos,2019-01-01,1,1,1,1,2
RIBERALTA,internaciones,contrareferidos,2019-01-01,25,280,25,280,305
ROBORE,internaciones,contrareferidos,2019-01-01,2,1,2,1,3
RURRENABAQUE,internaciones,contrareferidos,2019-01-01,1,11,1,11,12
SAN BUENA VENTURA,internaciones,contrareferidos,2019-01-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2019-01-01,3,21,3,21,24
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2019-01-01,0,1,0,1,1
SAN LUCAS,internaciones,contrareferidos,2019-01-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2019-01-01,222,1483,222,1483,1705
SOPACHUY,internaciones,contrareferidos,2019-01-01,1,0,1,0,1
SUCRE,internaciones,contrareferidos,2019-01-01,122,443,122,443,565
TARABUCO,internaciones,contrareferidos,2019-01-01,21,32,21,32,53
TARIJA,internaciones,contrareferidos,2019-01-01,7,12,7,12,19
TIQUIPAYA,internaciones,contrareferidos,2019-01-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2019-01-01,1,0,1,0,1
TUPIZA,internaciones,contrareferidos,2019-01-01,12,50,12,50,62
VALLEGRANDE,internaciones,contrareferidos,2019-01-01,3,2,3,2,5
VIACHA,internaciones,contrareferidos,2019-01-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2019-01-01,0,1,0,1,1
VILLAZON,internaciones,contrareferidos,2019-01-01,2,5,2,5,7
WARNES,internaciones,contrareferidos,2019-01-01,1,0,1,0,1
YACUIBA,internaciones,contrareferidos,2019-01-01,5,4,5,4,9
ACHACACHI,internaciones,contrareferidos,2019-02-01,0,5,0,5,5
AIQUILE,internaciones,contrareferidos,2019-02-01,0,3,0,3,3
