,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
ACHACACHI,internaciones,ingresos espontaneos,2019-01-01,9,29,9,29,38
ACHOCALLA,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
AIQUILE,internaciones,ingresos espontaneos,2019-01-01,30,68,30,68,98
ALCALA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos espontaneos,2019-01-01,0,8,0,8,8
ANCORAIMES,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
ANDAMARCA,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2019-01-01,8,8,8,8,16
APOLO,internaciones,ingresos espontaneos,2019-01-01,0,13,0,13,13
ARANI,internaciones,ingresos espontaneos,2019-01-01,0,5,0,5,5
ARBIETO,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
ARQUE,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2019-01-01,45,120,45,120,165
ATOCHA,internaciones,ingresos espontaneos,2019-01-01,39,38,39,38,77
AYO AYO,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2019-01-01,5,38,5,38,43
AZURDUY,internaciones,ingresos espontaneos,2019-01-01,8,36,8,36,44
BATALLAS,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
BAURES,internaciones,ingresos espontaneos,2019-01-01,6,14,6,14,20
BELLA FLOR,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
BERMEJO,internaciones,ingresos espontaneos,2019-01-01,77,151,77,151,228
BETANZOS,internaciones,ingresos espontaneos,2019-01-01,0,15,0,15,15
BOYUIBE,internaciones,ingresos espontaneos,2019-01-01,5,28,5,28,33
BUENA VISTA,internaciones,ingresos espontaneos,2019-01-01,36,29,36,29,65
CABEZAS,internaciones,ingresos espontaneos,2019-01-01,19,17,19,17,36
"CAIZA ""D""",internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
CAJUATA,internaciones,ingresos espontaneos,2019-01-01,0,13,0,13,13
CALAMARCA,internaciones,ingresos espontaneos,2019-01-01,1,3,1,3,4
CAMARGO,internaciones,ingresos espontaneos,2019-01-01,24,77,24,77,101
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2019-01-01,3,5,3,5,8
CAMIRI,internaciones,ingresos espontaneos,2019-01-01,156,326,156,326,482
CAPINOTA,internaciones,ingresos espontaneos,2019-01-01,3,36,3,36,39
CAQUIAVIRI,internaciones,ingresos espontaneos,2019-01-01,0,1,0,1,1
CARACOLLO,internaciones,ingresos espontaneos,2019-01-01,0,24,0,24,24
CARANAVI,internaciones,ingresos espontaneos,2019-01-01,22,124,22,124,146
CARAPARI,internaciones,ingresos espontaneos,2019-01-01,0,3,0,3,3
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2019-01-01,10,21,10,21,31
CHALLAPATA,internaciones,ingresos espontaneos,2019-01-01,32,105,32,105,137
CHAQUI,internaciones,ingresos espontaneos,2019-01-01,0,2,0,2,2
CHARAGUA,internaciones,ingresos espontaneos,2019-01-01,44,77,44,77,121
CHAYANTA,internaciones,ingresos espontaneos,2019-01-01,0,6,0,6,6
CHIMORE,internaciones,ingresos espontaneos,2019-01-01,9,24,9,24,33
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2019-01-01,45,78,45,78,123
CHUMA,internaciones,ingresos espontaneos,2019-01-01,1,5,1,5,6
CKOCHAS,internaciones,ingresos espontaneos,2019-01-01,1,11,1,11,12
CLIZA,internaciones,ingresos espontaneos,2019-01-01,11,22,11,22,33
COBIJA,internaciones,ingresos espontaneos,2019-01-01,174,279,174,279,453
COCAPATA,internaciones,ingresos espontaneos,2019-01-01,1,7,1,7,8
