,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,2,4,2,4,6
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,4,2,4,2,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,108,79,108,79,187
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,2,1,2,1,3
CONCEPCION,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,1,1,1,2
COROICO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,14,16,14,16,30
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,4,0,4,0,4
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,76,74,76,74,150
MAIRANA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,5,2,5,2,7
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,11,18,11,18,29
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,12,8,12,8,20
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,4,8,4,8,12
SAN ANTONIO DE LOMERIO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,115,145,115,145,260
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,20,18,20,18,38
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,1,0,1,0,1
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,18,33,18,33,51
TIQUIPAYA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,5,7,5,7,12
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,3,0,3,0,3
UYUNI,internaciones,fallecidos a partir de las 48 hrs.,2019-01-01,0,1,0,1,1
