municipality,group,variable,month,RN con alojamiento conjunto,TOTAL
ACHACACHI,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,24,24
AIQUILE,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,26,26
ALCALA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,1,1
ANDAMARCA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,59,59
ATOCHA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,9,9
BAURES,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,5,5
BERMEJO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,34,34
BETANZOS,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,21,21
BOYUIBE,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,3,3
BUENA VISTA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,4,4
CABEZAS,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,20,20
CAIROMA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,1,1
"CAIZA ""D""",atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,5,5
CAMARGO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,18,18
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,1,1
CAMIRI,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,4,4
CAPINOTA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,12,12
CARACOLLO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,5,5
CARANAVI,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,75,75
CARAPARI,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,2,2
CARIPUYO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,7,7
CHALLAPATA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,42,42
CHAQUI,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,4,4
CHARAGUA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,15,15
CKOCHAS,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,2,2
CLIZA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,25,25
COBIJA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,104,104
COCHABAMBA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,1167,1167
COLCAPIRHUA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,34,34
"COLCHA ""K""",atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,2,2
COLQUECHACA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,17,17
COMARAPA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,19,19
CONCEPCION,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,34,34
COROICO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,12,12
COTAGAITA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,7,7
COTOCA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,65,65
CUATRO CAÑADAS,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,28,28
CULPINA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,19,19
EL ALTO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,727,727
EL PUENTE(STC),atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,5,5
EL TORNO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,83,83
EL VILLAR,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,1,1
ENTRE RIOS TRJ,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,7,7
ENTRE RIOS CBBA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,24,24
ESCOMA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,10,10
FERNANDEZ ALONSO,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,3,3
FILADELFIA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,2,2
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,3,3
GUAYARAMERIN,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,55,55
HUACARAJE,atencion de partos en servicios,rn con alojamiento conjunto,2023-01-01,1,1
