municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicios,cesareas,2023-01-01,6,6
AIQUILE,atencion de partos en servicios,cesareas,2023-01-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2023-01-01,30,30
ATOCHA,atencion de partos en servicios,cesareas,2023-01-01,2,2
BAURES,atencion de partos en servicios,cesareas,2023-01-01,1,1
BERMEJO,atencion de partos en servicios,cesareas,2023-01-01,23,23
CABEZAS,atencion de partos en servicios,cesareas,2023-01-01,5,5
CAMARGO,atencion de partos en servicios,cesareas,2023-01-01,8,8
CAMIRI,atencion de partos en servicios,cesareas,2023-01-01,45,45
CARANAVI,atencion de partos en servicios,cesareas,2023-01-01,42,42
CHALLAPATA,atencion de partos en servicios,cesareas,2023-01-01,15,15
CHARAGUA,atencion de partos en servicios,cesareas,2023-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2023-01-01,5,5
CLIZA,atencion de partos en servicios,cesareas,2023-01-01,10,10
COBIJA,atencion de partos en servicios,cesareas,2023-01-01,61,61
COCHABAMBA,atencion de partos en servicios,cesareas,2023-01-01,861,861
COLCAPIRHUA,atencion de partos en servicios,cesareas,2023-01-01,15,15
COMARAPA,atencion de partos en servicios,cesareas,2023-01-01,11,11
CONCEPCION,atencion de partos en servicios,cesareas,2023-01-01,11,11
COROICO,atencion de partos en servicios,cesareas,2023-01-01,6,6
COTOCA,atencion de partos en servicios,cesareas,2023-01-01,24,24
CUATRO CAÑADAS,atencion de partos en servicios,cesareas,2023-01-01,9,9
CULPINA,atencion de partos en servicios,cesareas,2023-01-01,4,4
EL ALTO,atencion de partos en servicios,cesareas,2023-01-01,380,380
EL TORNO,atencion de partos en servicios,cesareas,2023-01-01,58,58
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2023-01-01,3,3
ESCOMA,atencion de partos en servicios,cesareas,2023-01-01,3,3
GUANAY,atencion de partos en servicios,cesareas,2023-01-01,3,3
GUAYARAMERIN,atencion de partos en servicios,cesareas,2023-01-01,32,32
HUANUNI,atencion de partos en servicios,cesareas,2023-01-01,18,18
LA GUARDIA,atencion de partos en servicios,cesareas,2023-01-01,41,41
LA PAZ,atencion de partos en servicios,cesareas,2023-01-01,722,722
LLALLAGUA,atencion de partos en servicios,cesareas,2023-01-01,23,23
MIZQUE,atencion de partos en servicios,cesareas,2023-01-01,12,12
MONTEAGUDO,atencion de partos en servicios,cesareas,2023-01-01,21,21
MONTERO,atencion de partos en servicios,cesareas,2023-01-01,207,207
ORURO,atencion de partos en servicios,cesareas,2023-01-01,304,304
PADILLA,atencion de partos en servicios,cesareas,2023-01-01,7,7
PAILON,atencion de partos en servicios,cesareas,2023-01-01,14,14
PORTACHUELO,atencion de partos en servicios,cesareas,2023-01-01,19,19
POTOSI,atencion de partos en servicios,cesareas,2023-01-01,209,209
PUCARANI,atencion de partos en servicios,cesareas,2023-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2023-01-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2023-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2023-01-01,39,39
PUNATA,atencion de partos en servicios,cesareas,2023-01-01,51,51
QUILLACOLLO,atencion de partos en servicios,cesareas,2023-01-01,71,71
RIBERALTA,atencion de partos en servicios,cesareas,2023-01-01,119,119
ROBORE,atencion de partos en servicios,cesareas,2023-01-01,4,4
RURRENABAQUE,atencion de partos en servicios,cesareas,2023-01-01,17,17
SACABA,atencion de partos en servicios,cesareas,2023-01-01,103,103
SAN BORJA,atencion de partos en servicios,cesareas,2023-01-01,13,13
SAN BUENA VENTURA,atencion de partos en servicios,cesareas,2023-01-01,8,8
SAN CARLOS,atencion de partos en servicios,cesareas,2023-01-01,15,15
SAN IGNACIO,atencion de partos en servicios,cesareas,2023-01-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2023-01-01,51,51
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2023-01-01,4,4
SAN JOAQUIN,atencion de partos en servicios,cesareas,2023-01-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2023-01-01,20,20
SAN JULIAN,atencion de partos en servicios,cesareas,2023-01-01,14,14
SAN LUCAS,atencion de partos en servicios,cesareas,2023-01-01,2,2
SAN MATIAS,atencion de partos en servicios,cesareas,2023-01-01,10,10
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2023-01-01,5,5
SANTA ANA,atencion de partos en servicios,cesareas,2023-01-01,13,13
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2023-01-01,2145,2145
SHINAOTA,atencion de partos en servicios,cesareas,2023-01-01,15,15
SUCRE,atencion de partos en servicios,cesareas,2023-01-01,278,278
TARABUCO,atencion de partos en servicios,cesareas,2023-01-01,1,1
TARIJA,atencion de partos en servicios,cesareas,2023-01-01,179,179
TARVITA,atencion de partos en servicios,cesareas,2023-01-01,5,5
TIQUIPAYA,atencion de partos en servicios,cesareas,2023-01-01,27,27
TOTORA(CBBA),atencion de partos en servicios,cesareas,2023-01-01,4,4
TRINIDAD,atencion de partos en servicios,cesareas,2023-01-01,132,132
TUPIZA,atencion de partos en servicios,cesareas,2023-01-01,16,16
UNCIA,atencion de partos en servicios,cesareas,2023-01-01,6,6
UYUNI,atencion de partos en servicios,cesareas,2023-01-01,9,9
VALLEGRANDE,atencion de partos en servicios,cesareas,2023-01-01,35,35
VIACHA,atencion de partos en servicios,cesareas,2023-01-01,5,5
VILLA MONTES,atencion de partos en servicios,cesareas,2023-01-01,43,43
VILLA TUNARI,atencion de partos en servicios,cesareas,2023-01-01,48,48
VILLAZON,atencion de partos en servicios,cesareas,2023-01-01,15,15
VINTO,atencion de partos en servicios,cesareas,2023-01-01,17,17
WARNES,atencion de partos en servicios,cesareas,2023-01-01,53,53
YACUIBA,atencion de partos en servicios,cesareas,2023-01-01,60,60
YAPACANI,atencion de partos en servicios,cesareas,2023-01-01,56,56
ACHACACHI,atencion de partos en servicios,cesareas,2023-02-01,10,10
AIQUILE,atencion de partos en servicios,cesareas,2023-02-01,6,6
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2023-02-01,27,27
ATOCHA,atencion de partos en servicios,cesareas,2023-02-01,2,2
BAURES,atencion de partos en servicios,cesareas,2023-02-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2023-02-01,31,31
CAMARGO,atencion de partos en servicios,cesareas,2023-02-01,8,8
