,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,40,0,40,40
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,6,28,6,28,34
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,53,0,53,53
ARANI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,1800,0,1800,1800
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,67,0,67,67
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,14,90,14,90,104
ATOCHA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,0,1,0,1
AYATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,3,0,3,0,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,438,1,438,439
BETANZOS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,30,0,30,30
BOYUIBE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,181,0,181,181
CABEZAS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,140,0,140,140
"CAIZA ""D""",otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,23,0,23,23
CAQUIAVIRI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,40,0,40,40
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
CARANAVI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,34,0,34,34
CHALLAPATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,12,0,12,12
CHAYANTA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,20,0,20,0,20
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,7,4,7,4,11
CHUMA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,4,0,4,4
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,8,0,8,0,8
COBIJA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,60,0,60,60
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,16,87,16,87,103
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,802,330,802,330,1132
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,747,627,747,627,1374
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2013-01-01,2,0,2,0,2
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,37,20,37,20,57
COLPA BELGICA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,679,0,679,679
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,20,192,20,192,212
CONCEPCION,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,8,0,8,8
COROICO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,8,260,8,260,268
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,5,0,5,0,5
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,2,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,309,0,309,309
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,34,0,34,34
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,6,0,6,0,6
CURVA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,0,1,0,1
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,228,179,228,179,407
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,20,87,20,87,107
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,5,0,5,0,5
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,27,50,27,50,77
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,204,0,204,204
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,4,1,4,5
GUAYARAMERIN,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,20,0,20,20
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,60,0,60,60
HUACARETA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,6,0,6,0,6
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,25,0,25,25
HUAYLLAMARCA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,9,1,9,10
ICLA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,30,0,30,30
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,35,0,35,35
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,10,0,10,0,10
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,300,50,300,50,350
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,262,0,262,262
LLICA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,8,0,8,0,8
MECAPACA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,5,15,5,15,20
MINEROS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,33,0,33,33
MIZQUE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,11,0,11,0,11
MONTEAGUDO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,6,0,6,6
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,257,457,257,457,714
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,5,624,5,624,629
OCURI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,28,0,28,28
OMEREQUE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,50,0,50,50
ORURO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,26,174,26,174,200
PAILON,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,1076,1,1076,1077
PALCA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,70,0,70,70
PASORAPA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,30,0,30,30
POTOSI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,6,0,6,0,6
PUCARA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,13,0,13,13
PUERTO CARABUCO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,29,0,29,29
PUERTO PEREZ,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,20,110,20,110,130
PUERTO SUAREZ,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,8,0,8,8
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,5,174,5,174,179
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,61,0,61,0,61
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,298,1080,298,1080,1378
QUIME,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,20,0,20,20
ROBORE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,880,0,880,880
SACABA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,103,1400,103,1400,1503
SACACA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,20,0,20,20
SAN AGUSTIN,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,23,37,23,37,60
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,2,0,2,2
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,134,0,134,134
SAN CARLOS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,5,0,5,5
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,70,80,70,80,150
SAN JAVIER(STC),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,610,0,610,610
SAN JULIAN,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,240,0,240,240
SAN LORENZO(TJA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,17,0,17,17
SAN MATIAS,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1355,2248,1355,2248,3603
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,4,0,4,0,4
SANTIAGO DE HUARI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,7,0,7,7
SANTIVAÑES,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,3,30,3,30,33
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,3,0,3,3
SHINAOTA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,7,0,7,7
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,5,0,5,5
SICAYA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,0,10,0,10,10
SIPE SIPE,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,406,261,406,261,667
SORACACHI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,13,25,13,25,38
SORATA,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,12,51,12,51,63
TACACHI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,1,24,1,24,25
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2013-01-01,20,152,20,152,172
