municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,558,558
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,930,930
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
ANCORAIMES,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,337,337
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,496,496
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,372,372
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,2108,2108
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,709,709
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,682,682
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,744,744
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,8567,8567
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,651,651
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,241,241
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,372,372
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,246,246
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1085,1085
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,155,155
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,2832,2832
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,837,837
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,868,868
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1395,1395
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,30,30
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,150,150
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1674,1674
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,186,186
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,744,744
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,791,791
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,248,248
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,29,29
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,248,248
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,558,558
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,5580,5580
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,217,217
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,55490,55490
COIPASA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,186,186
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,7502,7502
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,94,94
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,217,217
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,496,496
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1054,1054
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,434,434
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,341,341
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1953,1953
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,496,496
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,372,372
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,30,30
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,341,341
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,279,279
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,26211,26211
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,186,186
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,713,713
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,248,248
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,142,142
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,186,186
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,868,868
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,620,620
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1209,1209
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,279,279
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1860,1860
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,465,465
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,465,465
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,372,372
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,180,180
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,589,589
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,3658,3658
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,104512,104512
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,18,18
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,372,372
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,31,31
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,24,24
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,155,155
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,403,403
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,155,155
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,571,571
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,839,839
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,2,2
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,2790,2790
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,5851,5851
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,713,713
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,186,186
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,24120,24120
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,266,266
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,310,310
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,56,56
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,186,186
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,222,222
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,62,62
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,775,775
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,403,403
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,310,310
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,93,93
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,90,90
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,1023,1023
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,120,120
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,2497,2497
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,19097,19097
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,527,527
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,651,651
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,124,124
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,168,168
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,363,363
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,4,4
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2023-01-01,2386,2386
