municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,1,1
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,200,200
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,132,132
ALCALA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,9,9
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,69,69
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,12,12
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,768,768
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,242,242
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,21,21
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,53,53
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,210,210
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,719,719
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,2,2
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,73,73
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,131,131
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,106,106
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,3,3
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,8,8
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,280,280
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,10,10
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,1230,1230
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,82,82
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,321,321
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,2,2
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2023-01-01,524,524
