municipality,group,variable,month,Viviendas Roceadas,TOTAL
ACACIO,chagas viviendas,viviendas roceadas,2017-01-01,3,3
AIQUILE,chagas viviendas,viviendas roceadas,2017-01-01,27,27
ANZALDO,chagas viviendas,viviendas roceadas,2017-01-01,5,5
ARANI,chagas viviendas,viviendas roceadas,2017-01-01,2,2
ARBIETO,chagas viviendas,viviendas roceadas,2017-01-01,11,11
CLIZA,chagas viviendas,viviendas roceadas,2017-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas roceadas,2017-01-01,23,23
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2017-01-01,9,9
COMARAPA,chagas viviendas,viviendas roceadas,2017-01-01,5,5
COTAGAITA,chagas viviendas,viviendas roceadas,2017-01-01,1,1
EL TORNO,chagas viviendas,viviendas roceadas,2017-01-01,10,10
ICLA,chagas viviendas,viviendas roceadas,2017-01-01,2,2
OMEREQUE,chagas viviendas,viviendas roceadas,2017-01-01,13,13
PAMPA GRANDE,chagas viviendas,viviendas roceadas,2017-01-01,89,89
PASORAPA,chagas viviendas,viviendas roceadas,2017-01-01,7,7
POJO (CBBA),chagas viviendas,viviendas roceadas,2017-01-01,16,16
PUNA,chagas viviendas,viviendas roceadas,2017-01-01,4,4
QUILLACOLLO,chagas viviendas,viviendas roceadas,2017-01-01,16,16
RAVELO,chagas viviendas,viviendas roceadas,2017-01-01,24,24
SACABA,chagas viviendas,viviendas roceadas,2017-01-01,6,6
SAIPINA,chagas viviendas,viviendas roceadas,2017-01-01,38,38
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2017-01-01,10,10
SANTIVAÑES,chagas viviendas,viviendas roceadas,2017-01-01,10,10
SIPE SIPE,chagas viviendas,viviendas roceadas,2017-01-01,70,70
TARIJA,chagas viviendas,viviendas roceadas,2017-01-01,25,25
TIQUIPAYA,chagas viviendas,viviendas roceadas,2017-01-01,5,5
TOCO,chagas viviendas,viviendas roceadas,2017-01-01,4,4
TORO TORO,chagas viviendas,viviendas roceadas,2017-01-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2017-01-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2017-01-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2017-01-01,26,26
VALLEGRANDE,chagas viviendas,viviendas roceadas,2017-01-01,2,2
VINTO,chagas viviendas,viviendas roceadas,2017-01-01,5,5
AIQUILE,chagas viviendas,viviendas roceadas,2017-02-01,26,26
ANZALDO,chagas viviendas,viviendas roceadas,2017-02-01,7,7
ARANI,chagas viviendas,viviendas roceadas,2017-02-01,18,18
ARBIETO,chagas viviendas,viviendas roceadas,2017-02-01,15,15
CAMARGO,chagas viviendas,viviendas roceadas,2017-02-01,20,20
CAPINOTA,chagas viviendas,viviendas roceadas,2017-02-01,37,37
CLIZA,chagas viviendas,viviendas roceadas,2017-02-01,3,3
