municipality,group,variable,month,Viviendas Positivas,TOTAL
PRESTO,chagas viviendas,viviendas positivas,2017-06-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2017-06-01,9,9
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-06-01,3,3
RAVELO,chagas viviendas,viviendas positivas,2017-06-01,4,4
SACABA,chagas viviendas,viviendas positivas,2017-06-01,9,9
SAIPINA,chagas viviendas,viviendas positivas,2017-06-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-06-01,1,1
SAN LUCAS,chagas viviendas,viviendas positivas,2017-06-01,9,9
SICAYA,chagas viviendas,viviendas positivas,2017-06-01,12,12
SUCRE,chagas viviendas,viviendas positivas,2017-06-01,26,26
TACACHI,chagas viviendas,viviendas positivas,2017-06-01,3,3
TACACOMA,chagas viviendas,viviendas positivas,2017-06-01,21,21
TARABUCO,chagas viviendas,viviendas positivas,2017-06-01,23,23
TARATA,chagas viviendas,viviendas positivas,2017-06-01,2,2
TARIJA,chagas viviendas,viviendas positivas,2017-06-01,5,5
TINGUIPAYA,chagas viviendas,viviendas positivas,2017-06-01,1,1
TOCO,chagas viviendas,viviendas positivas,2017-06-01,1,1
TOMINA,chagas viviendas,viviendas positivas,2017-06-01,8,8
TOTORA(CBBA),chagas viviendas,viviendas positivas,2017-06-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2017-06-01,11,11
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-06-01,85,85
VILLA CHARCAS,chagas viviendas,viviendas positivas,2017-06-01,17,17
VILLA MONTES,chagas viviendas,viviendas positivas,2017-06-01,5,5
VILLA RIVERO,chagas viviendas,viviendas positivas,2017-06-01,7,7
VILLA SERRANO,chagas viviendas,viviendas positivas,2017-06-01,3,3
VITICHI,chagas viviendas,viviendas positivas,2017-06-01,8,8
YACUIBA,chagas viviendas,viviendas positivas,2017-06-01,12,12
YAMPARAEZ,chagas viviendas,viviendas positivas,2017-06-01,53,53
YOTALA,chagas viviendas,viviendas positivas,2017-06-01,1,1
YUNCHARA,chagas viviendas,viviendas positivas,2017-06-01,1,1
ZUDAÑEZ,chagas viviendas,viviendas positivas,2017-06-01,35,35
ACACIO,chagas viviendas,viviendas positivas,2017-07-01,2,2
AIQUILE,chagas viviendas,viviendas positivas,2017-07-01,13,13
ANZALDO,chagas viviendas,viviendas positivas,2017-07-01,2,2
ARANI,chagas viviendas,viviendas positivas,2017-07-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2017-07-01,4,4
ARQUE,chagas viviendas,viviendas positivas,2017-07-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2017-07-01,1,1
BETANZOS,chagas viviendas,viviendas positivas,2017-07-01,7,7
CKOCHAS,chagas viviendas,viviendas positivas,2017-07-01,9,9
COCHABAMBA,chagas viviendas,viviendas positivas,2017-07-01,3,3
COLCAPIRHUA,chagas viviendas,viviendas positivas,2017-07-01,1,1
COLQUECHACA,chagas viviendas,viviendas positivas,2017-07-01,2,2
CORIPATA,chagas viviendas,viviendas positivas,2017-07-01,10,10
COTAGAITA,chagas viviendas,viviendas positivas,2017-07-01,4,4
CUATRO CAÑADAS,chagas viviendas,viviendas positivas,2017-07-01,5,5
CULPINA,chagas viviendas,viviendas positivas,2017-07-01,6,6
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2017-07-01,7,7
EL TORNO,chagas viviendas,viviendas positivas,2017-07-01,5,5
EL VILLAR,chagas viviendas,viviendas positivas,2017-07-01,1,1
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2017-07-01,5,5
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2017-07-01,5,5
LAGUNILLAS,chagas viviendas,viviendas positivas,2017-07-01,3,3
OMEREQUE,chagas viviendas,viviendas positivas,2017-07-01,8,8
PADILLA,chagas viviendas,viviendas positivas,2017-07-01,3,3
PALCA,chagas viviendas,viviendas positivas,2017-07-01,15,15
PASORAPA,chagas viviendas,viviendas positivas,2017-07-01,12,12
POCONA,chagas viviendas,viviendas positivas,2017-07-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2017-07-01,8,8
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-07-01,1,1
RAVELO,chagas viviendas,viviendas positivas,2017-07-01,3,3
SACABA,chagas viviendas,viviendas positivas,2017-07-01,7,7
SAIPINA,chagas viviendas,viviendas positivas,2017-07-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-07-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2017-07-01,9,9
SICAYA,chagas viviendas,viviendas positivas,2017-07-01,7,7
SIPE SIPE,chagas viviendas,viviendas positivas,2017-07-01,1,1
TACACHI,chagas viviendas,viviendas positivas,2017-07-01,2,2
TINGUIPAYA,chagas viviendas,viviendas positivas,2017-07-01,1,1
TIQUIPAYA,chagas viviendas,viviendas positivas,2017-07-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2017-07-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2017-07-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2017-07-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-07-01,4,4
VILA VILA,chagas viviendas,viviendas positivas,2017-07-01,6,6
VILLA MONTES,chagas viviendas,viviendas positivas,2017-07-01,92,92
VILLA RIVERO,chagas viviendas,viviendas positivas,2017-07-01,2,2
VILLA SERRANO,chagas viviendas,viviendas positivas,2017-07-01,1,1
VINTO,chagas viviendas,viviendas positivas,2017-07-01,7,7
VITICHI,chagas viviendas,viviendas positivas,2017-07-01,7,7
YOTALA,chagas viviendas,viviendas positivas,2017-07-01,6,6
YUNCHARA,chagas viviendas,viviendas positivas,2017-07-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2017-08-01,18,18
ANZALDO,chagas viviendas,viviendas positivas,2017-08-01,4,4
ARAMPAMPA,chagas viviendas,viviendas positivas,2017-08-01,1,1
ARANI,chagas viviendas,viviendas positivas,2017-08-01,4,4
ARBIETO,chagas viviendas,viviendas positivas,2017-08-01,3,3
ARQUE,chagas viviendas,viviendas positivas,2017-08-01,1,1
AZURDUY,chagas viviendas,viviendas positivas,2017-08-01,1,1
BETANZOS,chagas viviendas,viviendas positivas,2017-08-01,4,4
BOYUIBE,chagas viviendas,viviendas positivas,2017-08-01,15,15
"CAIZA ""D""",chagas viviendas,viviendas positivas,2017-08-01,6,6
CAMARGO,chagas viviendas,viviendas positivas,2017-08-01,10,10
CAMIRI,chagas viviendas,viviendas positivas,2017-08-01,25,25
CAPINOTA,chagas viviendas,viviendas positivas,2017-08-01,2,2
CARAPARI,chagas viviendas,viviendas positivas,2017-08-01,15,15
CLIZA,chagas viviendas,viviendas positivas,2017-08-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2017-08-01,46,46
COLCAPIRHUA,chagas viviendas,viviendas positivas,2017-08-01,7,7
COTAGAITA,chagas viviendas,viviendas positivas,2017-08-01,18,18
CUATRO CAÑADAS,chagas viviendas,viviendas positivas,2017-08-01,27,27
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2017-08-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2017-08-01,14,14
GUTIERREZ,chagas viviendas,viviendas positivas,2017-08-01,63,63
HUACARETA,chagas viviendas,viviendas positivas,2017-08-01,11,11
LAGUNILLAS,chagas viviendas,viviendas positivas,2017-08-01,3,3
LAS CARRERAS,chagas viviendas,viviendas positivas,2017-08-01,5,5
MONTEAGUDO,chagas viviendas,viviendas positivas,2017-08-01,4,4
MORO MORO,chagas viviendas,viviendas positivas,2017-08-01,2,2
OMEREQUE,chagas viviendas,viviendas positivas,2017-08-01,11,11
PADCAYA,chagas viviendas,viviendas positivas,2017-08-01,2,2
PASORAPA,chagas viviendas,viviendas positivas,2017-08-01,13,13
POCONA,chagas viviendas,viviendas positivas,2017-08-01,1,1
POROMA,chagas viviendas,viviendas positivas,2017-08-01,1,1
PORONGO,chagas viviendas,viviendas positivas,2017-08-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2017-08-01,8,8
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-08-01,3,3
QUIRUSILLAS,chagas viviendas,viviendas positivas,2017-08-01,2,2
RAVELO,chagas viviendas,viviendas positivas,2017-08-01,5,5
SACABA,chagas viviendas,viviendas positivas,2017-08-01,11,11
SAIPINA,chagas viviendas,viviendas positivas,2017-08-01,2,2
SAN BENITO,chagas viviendas,viviendas positivas,2017-08-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-08-01,4,4
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2017-08-01,17,17
SANTIVAÑES,chagas viviendas,viviendas positivas,2017-08-01,30,30
SICAYA,chagas viviendas,viviendas positivas,2017-08-01,4,4
SIPE SIPE,chagas viviendas,viviendas positivas,2017-08-01,6,6
SUCRE,chagas viviendas,viviendas positivas,2017-08-01,21,21
TACOBAMBA,chagas viviendas,viviendas positivas,2017-08-01,15,15
TACOPAYA,chagas viviendas,viviendas positivas,2017-08-01,1,1
TAPACARI,chagas viviendas,viviendas positivas,2017-08-01,2,2
TARATA,chagas viviendas,viviendas positivas,2017-08-01,1,1
TINGUIPAYA,chagas viviendas,viviendas positivas,2017-08-01,2,2
TOLATA,chagas viviendas,viviendas positivas,2017-08-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2017-08-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas positivas,2017-08-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2017-08-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-08-01,3,3
VILA VILA,chagas viviendas,viviendas positivas,2017-08-01,2,2
VILLA SERRANO,chagas viviendas,viviendas positivas,2017-08-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas positivas,2017-08-01,4,4
