municipality,group,variable,month,Viviendas Positivas,TOTAL
ACACIO,chagas viviendas,viviendas positivas,2017-01-01,2,2
ARANI,chagas viviendas,viviendas positivas,2017-01-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2017-01-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2017-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2017-01-01,14,14
COMARAPA,chagas viviendas,viviendas positivas,2017-01-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2017-01-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2017-01-01,2,2
ICLA,chagas viviendas,viviendas positivas,2017-01-01,1,1
LAGUNILLAS,chagas viviendas,viviendas positivas,2017-01-01,4,4
MONTEAGUDO,chagas viviendas,viviendas positivas,2017-01-01,4,4
OMEREQUE,chagas viviendas,viviendas positivas,2017-01-01,5,5
PAMPA GRANDE,chagas viviendas,viviendas positivas,2017-01-01,23,23
PASORAPA,chagas viviendas,viviendas positivas,2017-01-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2017-01-01,16,16
PUNA,chagas viviendas,viviendas positivas,2017-01-01,2,2
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-01-01,2,2
RAVELO,chagas viviendas,viviendas positivas,2017-01-01,4,4
SACABA,chagas viviendas,viviendas positivas,2017-01-01,1,1
SAIPINA,chagas viviendas,viviendas positivas,2017-01-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-01-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2017-01-01,10,10
TACOBAMBA,chagas viviendas,viviendas positivas,2017-01-01,6,6
TAPACARI,chagas viviendas,viviendas positivas,2017-01-01,1,1
TIQUIPAYA,chagas viviendas,viviendas positivas,2017-01-01,1,1
TOCO,chagas viviendas,viviendas positivas,2017-01-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2017-01-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas positivas,2017-01-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2017-01-01,3,3
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-01-01,1,1
VILA VILA,chagas viviendas,viviendas positivas,2017-01-01,4,4
ARANI,chagas viviendas,viviendas positivas,2017-02-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2017-02-01,7,7
CLIZA,chagas viviendas,viviendas positivas,2017-02-01,3,3
COCHABAMBA,chagas viviendas,viviendas positivas,2017-02-01,55,55
COLCAPIRHUA,chagas viviendas,viviendas positivas,2017-02-01,2,2
COLQUECHACA,chagas viviendas,viviendas positivas,2017-02-01,7,7
COTAGAITA,chagas viviendas,viviendas positivas,2017-02-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2017-02-01,1,1
LAGUNILLAS,chagas viviendas,viviendas positivas,2017-02-01,10,10
OMEREQUE,chagas viviendas,viviendas positivas,2017-02-01,2,2
PAMPA GRANDE,chagas viviendas,viviendas positivas,2017-02-01,8,8
PASORAPA,chagas viviendas,viviendas positivas,2017-02-01,2,2
POCONA,chagas viviendas,viviendas positivas,2017-02-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2017-02-01,9,9
PUNA,chagas viviendas,viviendas positivas,2017-02-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2017-02-01,12,12
SAIPINA,chagas viviendas,viviendas positivas,2017-02-01,5,5
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-02-01,2,2
SAN LUCAS,chagas viviendas,viviendas positivas,2017-02-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2017-02-01,11,11
SIPE SIPE,chagas viviendas,viviendas positivas,2017-02-01,8,8
TAPACARI,chagas viviendas,viviendas positivas,2017-02-01,1,1
TOLATA,chagas viviendas,viviendas positivas,2017-02-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2017-02-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2017-02-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-02-01,6,6
VILA VILA,chagas viviendas,viviendas positivas,2017-02-01,4,4
VILLA RIVERO,chagas viviendas,viviendas positivas,2017-02-01,2,2
YOTALA,chagas viviendas,viviendas positivas,2017-02-01,8,8
AIQUILE,chagas viviendas,viviendas positivas,2017-03-01,25,25
ANZALDO,chagas viviendas,viviendas positivas,2017-03-01,4,4
ARANI,chagas viviendas,viviendas positivas,2017-03-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2017-03-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2017-03-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2017-03-01,15,15
CLIZA,chagas viviendas,viviendas positivas,2017-03-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2017-03-01,28,28
COLCAPIRHUA,chagas viviendas,viviendas positivas,2017-03-01,2,2
COLQUECHACA,chagas viviendas,viviendas positivas,2017-03-01,5,5
COMARAPA,chagas viviendas,viviendas positivas,2017-03-01,55,55
COTAGAITA,chagas viviendas,viviendas positivas,2017-03-01,4,4
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2017-03-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2017-03-01,2,2
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2017-03-01,8,8
GUTIERREZ,chagas viviendas,viviendas positivas,2017-03-01,1,1
HUACARETA,chagas viviendas,viviendas positivas,2017-03-01,41,41
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2017-03-01,2,2
LAGUNILLAS,chagas viviendas,viviendas positivas,2017-03-01,10,10
LAS CARRERAS,chagas viviendas,viviendas positivas,2017-03-01,8,8
MIZQUE,chagas viviendas,viviendas positivas,2017-03-01,25,25
MONTEAGUDO,chagas viviendas,viviendas positivas,2017-03-01,12,12
OMEREQUE,chagas viviendas,viviendas positivas,2017-03-01,15,15
PADILLA,chagas viviendas,viviendas positivas,2017-03-01,4,4
PASORAPA,chagas viviendas,viviendas positivas,2017-03-01,14,14
POCONA,chagas viviendas,viviendas positivas,2017-03-01,3,3
POJO (CBBA),chagas viviendas,viviendas positivas,2017-03-01,11,11
POROMA,chagas viviendas,viviendas positivas,2017-03-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2017-03-01,14,14
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-03-01,1,1
SACABA,chagas viviendas,viviendas positivas,2017-03-01,6,6
SAIPINA,chagas viviendas,viviendas positivas,2017-03-01,9,9
SAMAIPATA,chagas viviendas,viviendas positivas,2017-03-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-03-01,3,3
SAN LUCAS,chagas viviendas,viviendas positivas,2017-03-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2017-03-01,8,8
SANTIVAÑES,chagas viviendas,viviendas positivas,2017-03-01,5,5
SIPE SIPE,chagas viviendas,viviendas positivas,2017-03-01,1,1
SUCRE,chagas viviendas,viviendas positivas,2017-03-01,6,6
TARIJA,chagas viviendas,viviendas positivas,2017-03-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2017-03-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2017-03-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas positivas,2017-03-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2017-03-01,11,11
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-03-01,3,3
VILA VILA,chagas viviendas,viviendas positivas,2017-03-01,7,7
VILLA MONTES,chagas viviendas,viviendas positivas,2017-03-01,26,26
VINTO,chagas viviendas,viviendas positivas,2017-03-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2017-03-01,6,6
YOTALA,chagas viviendas,viviendas positivas,2017-03-01,7,7
ACACIO,chagas viviendas,viviendas positivas,2017-04-01,84,84
AIQUILE,chagas viviendas,viviendas positivas,2017-04-01,21,21
ALCALA,chagas viviendas,viviendas positivas,2017-04-01,1,1
ARANI,chagas viviendas,viviendas positivas,2017-04-01,8,8
ARQUE,chagas viviendas,viviendas positivas,2017-04-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2017-04-01,3,3
BETANZOS,chagas viviendas,viviendas positivas,2017-04-01,5,5
BOYUIBE,chagas viviendas,viviendas positivas,2017-04-01,70,70
COCHABAMBA,chagas viviendas,viviendas positivas,2017-04-01,32,32
COLQUECHACA,chagas viviendas,viviendas positivas,2017-04-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2017-04-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2017-04-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2017-04-01,1,1
LAS CARRERAS,chagas viviendas,viviendas positivas,2017-04-01,1,1
MACHARETI,chagas viviendas,viviendas positivas,2017-04-01,9,9
MIZQUE,chagas viviendas,viviendas positivas,2017-04-01,15,15
MOJOCOYA,chagas viviendas,viviendas positivas,2017-04-01,125,125
MONTEAGUDO,chagas viviendas,viviendas positivas,2017-04-01,5,5
OMEREQUE,chagas viviendas,viviendas positivas,2017-04-01,15,15
PASORAPA,chagas viviendas,viviendas positivas,2017-04-01,1,1
POCONA,chagas viviendas,viviendas positivas,2017-04-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2017-04-01,9,9
PRESTO,chagas viviendas,viviendas positivas,2017-04-01,10,10
PUNATA,chagas viviendas,viviendas positivas,2017-04-01,7,7
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-04-01,1,1
SACABA,chagas viviendas,viviendas positivas,2017-04-01,4,4
SAMAIPATA,chagas viviendas,viviendas positivas,2017-04-01,5,5
SAN BENITO,chagas viviendas,viviendas positivas,2017-04-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-04-01,2,2
SANTIVAÑES,chagas viviendas,viviendas positivas,2017-04-01,22,22
SOPACHUY,chagas viviendas,viviendas positivas,2017-04-01,1,1
SUCRE,chagas viviendas,viviendas positivas,2017-04-01,27,27
TARATA,chagas viviendas,viviendas positivas,2017-04-01,3,3
TARIJA,chagas viviendas,viviendas positivas,2017-04-01,3,3
TOLATA,chagas viviendas,viviendas positivas,2017-04-01,2,2
TOMAVE,chagas viviendas,viviendas positivas,2017-04-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2017-04-01,9,9
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-04-01,4,4
VILA VILA,chagas viviendas,viviendas positivas,2017-04-01,6,6
VILLA CHARCAS,chagas viviendas,viviendas positivas,2017-04-01,1,1
VILLA MONTES,chagas viviendas,viviendas positivas,2017-04-01,10,10
VILLA RIVERO,chagas viviendas,viviendas positivas,2017-04-01,2,2
VILLA SERRANO,chagas viviendas,viviendas positivas,2017-04-01,1,1
VINTO,chagas viviendas,viviendas positivas,2017-04-01,11,11
VITICHI,chagas viviendas,viviendas positivas,2017-04-01,4,4
YUNCHARA,chagas viviendas,viviendas positivas,2017-04-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2017-05-01,36,36
ALCALA,chagas viviendas,viviendas positivas,2017-05-01,5,5
ANZALDO,chagas viviendas,viviendas positivas,2017-05-01,4,4
ARAMPAMPA,chagas viviendas,viviendas positivas,2017-05-01,2,2
ARANI,chagas viviendas,viviendas positivas,2017-05-01,4,4
ARBIETO,chagas viviendas,viviendas positivas,2017-05-01,11,11
ARQUE,chagas viviendas,viviendas positivas,2017-05-01,3,3
BETANZOS,chagas viviendas,viviendas positivas,2017-05-01,7,7
BOYUIBE,chagas viviendas,viviendas positivas,2017-05-01,9,9
"CAIZA ""D""",chagas viviendas,viviendas positivas,2017-05-01,2,2
CAMARGO,chagas viviendas,viviendas positivas,2017-05-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2017-05-01,1,1
CKOCHAS,chagas viviendas,viviendas positivas,2017-05-01,7,7
CLIZA,chagas viviendas,viviendas positivas,2017-05-01,3,3
COCHABAMBA,chagas viviendas,viviendas positivas,2017-05-01,13,13
COLCAPIRHUA,chagas viviendas,viviendas positivas,2017-05-01,5,5
CORIPATA,chagas viviendas,viviendas positivas,2017-05-01,15,15
COTAGAITA,chagas viviendas,viviendas positivas,2017-05-01,14,14
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2017-05-01,1,1
CUEVO,chagas viviendas,viviendas positivas,2017-05-01,64,64
CULPINA,chagas viviendas,viviendas positivas,2017-05-01,11,11
EL VILLAR,chagas viviendas,viviendas positivas,2017-05-01,2,2
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2017-05-01,2,2
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2017-05-01,18,18
ICLA,chagas viviendas,viviendas positivas,2017-05-01,1,1
LAS CARRERAS,chagas viviendas,viviendas positivas,2017-05-01,33,33
MOJOCOYA,chagas viviendas,viviendas positivas,2017-05-01,34,34
MONTEAGUDO,chagas viviendas,viviendas positivas,2017-05-01,16,16
OMEREQUE,chagas viviendas,viviendas positivas,2017-05-01,10,10
PADCAYA,chagas viviendas,viviendas positivas,2017-05-01,2,2
PAMPA GRANDE,chagas viviendas,viviendas positivas,2017-05-01,8,8
PASORAPA,chagas viviendas,viviendas positivas,2017-05-01,1,1
POCONA,chagas viviendas,viviendas positivas,2017-05-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2017-05-01,20,20
POROMA,chagas viviendas,viviendas positivas,2017-05-01,23,23
PUNA,chagas viviendas,viviendas positivas,2017-05-01,14,14
PUNATA,chagas viviendas,viviendas positivas,2017-05-01,7,7
QUILLACOLLO,chagas viviendas,viviendas positivas,2017-05-01,3,3
RAVELO,chagas viviendas,viviendas positivas,2017-05-01,14,14
SACABA,chagas viviendas,viviendas positivas,2017-05-01,5,5
SAN BENITO,chagas viviendas,viviendas positivas,2017-05-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2017-05-01,2,2
SICAYA,chagas viviendas,viviendas positivas,2017-05-01,16,16
SIPE SIPE,chagas viviendas,viviendas positivas,2017-05-01,6,6
SUCRE,chagas viviendas,viviendas positivas,2017-05-01,25,25
TACACHI,chagas viviendas,viviendas positivas,2017-05-01,5,5
TACOBAMBA,chagas viviendas,viviendas positivas,2017-05-01,20,20
TAPACARI,chagas viviendas,viviendas positivas,2017-05-01,1,1
TARATA,chagas viviendas,viviendas positivas,2017-05-01,5,5
TARIJA,chagas viviendas,viviendas positivas,2017-05-01,2,2
TINGUIPAYA,chagas viviendas,viviendas positivas,2017-05-01,1,1
TOLATA,chagas viviendas,viviendas positivas,2017-05-01,3,3
TOMAVE,chagas viviendas,viviendas positivas,2017-05-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2017-05-01,8,8
TOTORA(CBBA),chagas viviendas,viviendas positivas,2017-05-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2017-05-01,2,2
VALLEGRANDE,chagas viviendas,viviendas positivas,2017-05-01,12,12
VILLA CHARCAS,chagas viviendas,viviendas positivas,2017-05-01,1,1
VILLA MONTES,chagas viviendas,viviendas positivas,2017-05-01,9,9
VILLA RIVERO,chagas viviendas,viviendas positivas,2017-05-01,1,1
VILLA SERRANO,chagas viviendas,viviendas positivas,2017-05-01,3,3
VINTO,chagas viviendas,viviendas positivas,2017-05-01,4,4
YACUIBA,chagas viviendas,viviendas positivas,2017-05-01,19,19
YAMPARAEZ,chagas viviendas,viviendas positivas,2017-05-01,2,2
YOTALA,chagas viviendas,viviendas positivas,2017-05-01,2,2
AIQUILE,chagas viviendas,viviendas positivas,2017-06-01,18,18
ARANI,chagas viviendas,viviendas positivas,2017-06-01,4,4
ARBIETO,chagas viviendas,viviendas positivas,2017-06-01,6,6
ARQUE,chagas viviendas,viviendas positivas,2017-06-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2017-06-01,4,4
BOYUIBE,chagas viviendas,viviendas positivas,2017-06-01,5,5
"CAIZA ""D""",chagas viviendas,viviendas positivas,2017-06-01,1,1
CAMARGO,chagas viviendas,viviendas positivas,2017-06-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2017-06-01,20,20
CARAPARI,chagas viviendas,viviendas positivas,2017-06-01,8,8
CKOCHAS,chagas viviendas,viviendas positivas,2017-06-01,6,6
CLIZA,chagas viviendas,viviendas positivas,2017-06-01,4,4
COCHABAMBA,chagas viviendas,viviendas positivas,2017-06-01,4,4
COLQUECHACA,chagas viviendas,viviendas positivas,2017-06-01,2,2
COTAGAITA,chagas viviendas,viviendas positivas,2017-06-01,8,8
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2017-06-01,2,2
CULPINA,chagas viviendas,viviendas positivas,2017-06-01,25,25
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2017-06-01,1,1
EL VILLAR,chagas viviendas,viviendas positivas,2017-06-01,3,3
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2017-06-01,3,3
ICLA,chagas viviendas,viviendas positivas,2017-06-01,3,3
INCAHUASI,chagas viviendas,viviendas positivas,2017-06-01,1,1
LAGUNILLAS,chagas viviendas,viviendas positivas,2017-06-01,2,2
MOJOCOYA,chagas viviendas,viviendas positivas,2017-06-01,13,13
MONTEAGUDO,chagas viviendas,viviendas positivas,2017-06-01,12,12
OMEREQUE,chagas viviendas,viviendas positivas,2017-06-01,8,8
PADILLA,chagas viviendas,viviendas positivas,2017-06-01,4,4
PAMPA GRANDE,chagas viviendas,viviendas positivas,2017-06-01,2,2
POCONA,chagas viviendas,viviendas positivas,2017-06-01,3,3
POJO (CBBA),chagas viviendas,viviendas positivas,2017-06-01,1,1
POROMA,chagas viviendas,viviendas positivas,2017-06-01,22,22
