municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2017-01-01,207,207
AIQUILE,chagas viviendas,viviendas evaluadas,2017-01-01,671,671
ANZALDO,chagas viviendas,viviendas evaluadas,2017-01-01,80,80
ARANI,chagas viviendas,viviendas evaluadas,2017-01-01,23,23
ARBIETO,chagas viviendas,viviendas evaluadas,2017-01-01,105,105
CAMARGO,chagas viviendas,viviendas evaluadas,2017-01-01,438,438
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2017-01-01,241,241
CAPINOTA,chagas viviendas,viviendas evaluadas,2017-01-01,106,106
CKOCHAS,chagas viviendas,viviendas evaluadas,2017-01-01,204,204
CLIZA,chagas viviendas,viviendas evaluadas,2017-01-01,370,370
COCHABAMBA,chagas viviendas,viviendas evaluadas,2017-01-01,141,141
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2017-01-01,266,266
COMARAPA,chagas viviendas,viviendas evaluadas,2017-01-01,35,35
COTAGAITA,chagas viviendas,viviendas evaluadas,2017-01-01,605,605
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2017-01-01,96,96
EL TORNO,chagas viviendas,viviendas evaluadas,2017-01-01,10,10
ICLA,chagas viviendas,viviendas evaluadas,2017-01-01,67,67
LAGUNILLAS,chagas viviendas,viviendas evaluadas,2017-01-01,60,60
MONTERO,chagas viviendas,viviendas evaluadas,2017-01-01,1,1
OCURI,chagas viviendas,viviendas evaluadas,2017-01-01,179,179
OMEREQUE,chagas viviendas,viviendas evaluadas,2017-01-01,235,235
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2017-01-01,124,124
PASORAPA,chagas viviendas,viviendas evaluadas,2017-01-01,102,102
POCONA,chagas viviendas,viviendas evaluadas,2017-01-01,53,53
POJO (CBBA),chagas viviendas,viviendas evaluadas,2017-01-01,140,140
PORONGO,chagas viviendas,viviendas evaluadas,2017-01-01,3,3
PUNA,chagas viviendas,viviendas evaluadas,2017-01-01,372,372
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2017-01-01,207,207
RAVELO,chagas viviendas,viviendas evaluadas,2017-01-01,184,184
SACABA,chagas viviendas,viviendas evaluadas,2017-01-01,10,10
SAIPINA,chagas viviendas,viviendas evaluadas,2017-01-01,38,38
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2017-01-01,43,43
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2017-01-01,209,209
SIPE SIPE,chagas viviendas,viviendas evaluadas,2017-01-01,136,136
TACOBAMBA,chagas viviendas,viviendas evaluadas,2017-01-01,260,260
TAPACARI,chagas viviendas,viviendas evaluadas,2017-01-01,96,96
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2017-01-01,205,205
TOCO,chagas viviendas,viviendas evaluadas,2017-01-01,184,184
TOLATA,chagas viviendas,viviendas evaluadas,2017-01-01,59,59
TOMAVE,chagas viviendas,viviendas evaluadas,2017-01-01,120,120
TORO TORO,chagas viviendas,viviendas evaluadas,2017-01-01,135,135
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2017-01-01,80,80
TUPIZA,chagas viviendas,viviendas evaluadas,2017-01-01,585,585
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2017-01-01,72,72
VILA VILA,chagas viviendas,viviendas evaluadas,2017-01-01,114,114
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2017-01-01,54,54
ACACIO,chagas viviendas,viviendas evaluadas,2017-02-01,195,195
AIQUILE,chagas viviendas,viviendas evaluadas,2017-02-01,752,752
ANZALDO,chagas viviendas,viviendas evaluadas,2017-02-01,99,99
ARANI,chagas viviendas,viviendas evaluadas,2017-02-01,123,123
ARBIETO,chagas viviendas,viviendas evaluadas,2017-02-01,139,139
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2017-02-01,164,164
CAMARGO,chagas viviendas,viviendas evaluadas,2017-02-01,169,169
CAPINOTA,chagas viviendas,viviendas evaluadas,2017-02-01,388,388
CLIZA,chagas viviendas,viviendas evaluadas,2017-02-01,458,458
COCHABAMBA,chagas viviendas,viviendas evaluadas,2017-02-01,892,892
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2017-02-01,336,336
COLQUECHACA,chagas viviendas,viviendas evaluadas,2017-02-01,103,103
COTAGAITA,chagas viviendas,viviendas evaluadas,2017-02-01,938,938
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2017-02-01,119,119
CULPINA,chagas viviendas,viviendas evaluadas,2017-02-01,224,224
EL TORNO,chagas viviendas,viviendas evaluadas,2017-02-01,7,7
LA GUARDIA,chagas viviendas,viviendas evaluadas,2017-02-01,1,1
LAGUNILLAS,chagas viviendas,viviendas evaluadas,2017-02-01,22,22
MONTERO,chagas viviendas,viviendas evaluadas,2017-02-01,2,2
OCURI,chagas viviendas,viviendas evaluadas,2017-02-01,94,94
OMEREQUE,chagas viviendas,viviendas evaluadas,2017-02-01,31,31
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2017-02-01,40,40
PASORAPA,chagas viviendas,viviendas evaluadas,2017-02-01,76,76
POCONA,chagas viviendas,viviendas evaluadas,2017-02-01,116,116
POJO (CBBA),chagas viviendas,viviendas evaluadas,2017-02-01,137,137
POSTRER VALLE,chagas viviendas,viviendas evaluadas,2017-02-01,37,37
PUNA,chagas viviendas,viviendas evaluadas,2017-02-01,250,250
PUNATA,chagas viviendas,viviendas evaluadas,2017-02-01,140,140
SAIPINA,chagas viviendas,viviendas evaluadas,2017-02-01,49,49
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2017-02-01,254,254
SAN LUCAS,chagas viviendas,viviendas evaluadas,2017-02-01,295,295
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2017-02-01,111,111
SIPE SIPE,chagas viviendas,viviendas evaluadas,2017-02-01,142,142
TACOBAMBA,chagas viviendas,viviendas evaluadas,2017-02-01,348,348
TACOPAYA,chagas viviendas,viviendas evaluadas,2017-02-01,78,78
TAPACARI,chagas viviendas,viviendas evaluadas,2017-02-01,81,81
TARATA,chagas viviendas,viviendas evaluadas,2017-02-01,30,30
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2017-02-01,180,180
TOCO,chagas viviendas,viviendas evaluadas,2017-02-01,222,222
TOLATA,chagas viviendas,viviendas evaluadas,2017-02-01,42,42
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2017-02-01,28,28
TUPIZA,chagas viviendas,viviendas evaluadas,2017-02-01,442,442
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2017-02-01,522,522
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2017-02-01,163,163
VILA VILA,chagas viviendas,viviendas evaluadas,2017-02-01,114,114
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2017-02-01,129,129
YOTALA,chagas viviendas,viviendas evaluadas,2017-02-01,493,493
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2017-02-01,119,119
ACACIO,chagas viviendas,viviendas evaluadas,2017-03-01,380,380
AIQUILE,chagas viviendas,viviendas evaluadas,2017-03-01,604,604
ANZALDO,chagas viviendas,viviendas evaluadas,2017-03-01,236,236
ARANI,chagas viviendas,viviendas evaluadas,2017-03-01,154,154
ARBIETO,chagas viviendas,viviendas evaluadas,2017-03-01,45,45
ARQUE,chagas viviendas,viviendas evaluadas,2017-03-01,184,184
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2017-03-01,349,349
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2017-03-01,112,112
