,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,1,1,1,2
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,4,3,4,3,7
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,1,1,1,2
CARAPARI,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2015-01-01,2,0,2,0,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,28,24,28,24,52
COROICO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,9,7,9,7,16
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,2,3,2,3,5
HUACHACALLA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
LA ASUNTA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,33,28,33,28,61
MAPIRI,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,4,6,4,6,10
ORURO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,4,2,4,2,6
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,11,5,11,5,16
PUERTO QUIJARRO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,3,1,3,1,4
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,6,3,6,3,9
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,0,1,0,1,1
SAN JULIAN,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
SAN LUCAS,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,41,32,41,32,73
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,13,10,13,10,23
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,15,20,15,20,35
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2015-01-01,3,6,3,6,9
