,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2015-01-01,6,11,6,11,17
AZURDUY,internaciones,contrareferidos,2015-01-01,0,1,0,1,1
BAURES,internaciones,contrareferidos,2015-01-01,19,25,19,25,44
BERMEJO,internaciones,contrareferidos,2015-01-01,9,0,9,0,9
CAMARGO,internaciones,contrareferidos,2015-01-01,4,3,4,3,7
CLIZA,internaciones,contrareferidos,2015-01-01,0,20,0,20,20
COBIJA,internaciones,contrareferidos,2015-01-01,34,187,34,187,221
COCHABAMBA,internaciones,contrareferidos,2015-01-01,12,237,12,237,249
COMARAPA,internaciones,contrareferidos,2015-01-01,1,3,1,3,4
CUATRO CAÑADAS,internaciones,contrareferidos,2015-01-01,3,2,3,2,5
CUCHUMUELA (V. G. VILLARROEL),internaciones,contrareferidos,2015-01-01,0,1,0,1,1
EL ALTO,internaciones,contrareferidos,2015-01-01,35,156,35,156,191
GUAYARAMERIN,internaciones,contrareferidos,2015-01-01,0,4,0,4,4
HUACARETA,internaciones,contrareferidos,2015-01-01,2,1,2,1,3
LA ASUNTA,internaciones,contrareferidos,2015-01-01,0,20,0,20,20
LA PAZ,internaciones,contrareferidos,2015-01-01,1,0,1,0,1
LAGUNILLAS,internaciones,contrareferidos,2015-01-01,0,2,0,2,2
LLALLAGUA,internaciones,contrareferidos,2015-01-01,10,0,10,0,10
MACHARETI,internaciones,contrareferidos,2015-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2015-01-01,3,4,3,4,7
MONTERO,internaciones,contrareferidos,2015-01-01,88,356,88,356,444
OKINAWA,internaciones,contrareferidos,2015-01-01,0,30,0,30,30
ORURO,internaciones,contrareferidos,2015-01-01,7,1,7,1,8
PADILLA,internaciones,contrareferidos,2015-01-01,35,0,35,0,35
PORTACHUELO,internaciones,contrareferidos,2015-01-01,3,23,3,23,26
POTOSI,internaciones,contrareferidos,2015-01-01,39,2,39,2,41
PUERTO SUAREZ,internaciones,contrareferidos,2015-01-01,0,2,0,2,2
PUERTO VILLARROEL,internaciones,contrareferidos,2015-01-01,0,8,0,8,8
PUNATA,internaciones,contrareferidos,2015-01-01,25,74,25,74,99
RIBERALTA,internaciones,contrareferidos,2015-01-01,22,101,22,101,123
RURRENABAQUE,internaciones,contrareferidos,2015-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2015-01-01,0,6,0,6,6
SAN JOAQUIN,internaciones,contrareferidos,2015-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2015-01-01,57,431,57,431,488
SUCRE,internaciones,contrareferidos,2015-01-01,29,244,29,244,273
TARABUCO,internaciones,contrareferidos,2015-01-01,2,11,2,11,13
TIPUANI,internaciones,contrareferidos,2015-01-01,1,0,1,0,1
TUPIZA,internaciones,contrareferidos,2015-01-01,0,47,0,47,47
VALLEGRANDE,internaciones,contrareferidos,2015-01-01,9,0,9,0,9
VIACHA,internaciones,contrareferidos,2015-01-01,4,2,4,2,6
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2015-01-01,1,0,1,0,1
YACUIBA,internaciones,contrareferidos,2015-01-01,33,2,33,2,35
ACHACACHI,internaciones,contrareferidos,2015-02-01,9,0,9,0,9
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2015-02-01,15,18,15,18,33
BERMEJO,internaciones,contrareferidos,2015-02-01,30,0,30,0,30
BOLPEBRA,internaciones,contrareferidos,2015-02-01,0,1,0,1,1
CALAMARCA,internaciones,contrareferidos,2015-02-01,0,1,0,1,1
CAMARGO,internaciones,contrareferidos,2015-02-01,7,12,7,12,19
CLIZA,internaciones,contrareferidos,2015-02-01,0,13,0,13,13
COBIJA,internaciones,contrareferidos,2015-02-01,11,159,11,159,170
COCHABAMBA,internaciones,contrareferidos,2015-02-01,12,211,12,211,223
COLOMI,internaciones,contrareferidos,2015-02-01,0,4,0,4,4
COMARAPA,internaciones,contrareferidos,2015-02-01,0,2,0,2,2
