,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,egresos,2015-01-01,13,46,13,46,59
ACHOCALLA,internaciones,egresos,2015-01-01,0,6,0,6,6
AIQUILE,internaciones,egresos,2015-01-01,32,65,32,65,97
ALALAY,internaciones,egresos,2015-01-01,0,1,0,1,1
ALCALA,internaciones,egresos,2015-01-01,0,4,0,4,4
ALTO BENI,internaciones,egresos,2015-01-01,0,9,0,9,9
ANTEQUERA,internaciones,egresos,2015-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2015-01-01,11,19,11,19,30
APOLO,internaciones,egresos,2015-01-01,2,12,2,12,14
ARAMPAMPA,internaciones,egresos,2015-01-01,1,4,1,4,5
ARANI,internaciones,egresos,2015-01-01,0,10,0,10,10
ARBIETO,internaciones,egresos,2015-01-01,0,18,0,18,18
ARQUE,internaciones,egresos,2015-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,egresos,2015-01-01,46,139,46,139,185
ATOCHA,internaciones,egresos,2015-01-01,54,86,54,86,140
AYO AYO,internaciones,egresos,2015-01-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2015-01-01,10,35,10,35,45
BAURES,internaciones,egresos,2015-01-01,8,13,8,13,21
BELLA FLOR,internaciones,egresos,2015-01-01,1,2,1,2,3
BERMEJO,internaciones,egresos,2015-01-01,104,158,104,158,262
BETANZOS,internaciones,egresos,2015-01-01,2,29,2,29,31
BOLIVAR,internaciones,egresos,2015-01-01,0,1,0,1,1
BOYUIBE,internaciones,egresos,2015-01-01,9,25,9,25,34
BUENA VISTA,internaciones,egresos,2015-01-01,18,18,18,18,36
CABEZAS,internaciones,egresos,2015-01-01,5,17,5,17,22
CAIROMA,internaciones,egresos,2015-01-01,1,9,1,9,10
"CAIZA ""D""",internaciones,egresos,2015-01-01,0,4,0,4,4
CAJUATA,internaciones,egresos,2015-01-01,0,14,0,14,14
CALAMARCA,internaciones,egresos,2015-01-01,0,7,0,7,7
CAMARGO,internaciones,egresos,2015-01-01,35,0,35,0,35
CAMIRI,internaciones,egresos,2015-01-01,186,344,186,344,530
CAPINOTA,internaciones,egresos,2015-01-01,3,31,3,31,34
CAQUIAVIRI,internaciones,egresos,2015-01-01,0,4,0,4,4
CARACOLLO,internaciones,egresos,2015-01-01,2,20,2,20,22
CARANAVI,internaciones,egresos,2015-01-01,28,148,28,148,176
CARMEN RIVERO TORREZ,internaciones,egresos,2015-01-01,6,20,6,20,26
CHALLAPATA,internaciones,egresos,2015-01-01,25,123,25,123,148
CHAQUI,internaciones,egresos,2015-01-01,0,2,0,2,2
CHARAGUA,internaciones,egresos,2015-01-01,11,48,11,48,59
CHAYANTA,internaciones,egresos,2015-01-01,3,10,3,10,13
CHIMORE,internaciones,egresos,2015-01-01,2,11,2,11,13
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2015-01-01,41,81,41,81,122
CHUMA,internaciones,egresos,2015-01-01,1,4,1,4,5
CLIZA,internaciones,egresos,2015-01-01,17,96,17,96,113
COBIJA,internaciones,egresos,2015-01-01,162,316,162,316,478
COCHABAMBA,internaciones,egresos,2015-01-01,3551,6083,3551,6083,9634
COLCAPIRHUA,internaciones,egresos,2015-01-01,24,82,24,82,106
"COLCHA ""K""",internaciones,egresos,2015-01-01,0,1,0,1,1
COLLANA,internaciones,egresos,2015-01-01,0,7,0,7,7
COLOMI,internaciones,egresos,2015-01-01,0,20,0,20,20
COLPA BELGICA,internaciones,egresos,2015-01-01,5,12,5,12,17
COLQUECHACA,internaciones,egresos,2015-01-01,1,9,1,9,10
COLQUIRI,internaciones,egresos,2015-01-01,0,19,0,19,19
COMARAPA,internaciones,egresos,2015-01-01,6,51,6,51,57
COMBAYA,internaciones,egresos,2015-01-01,0,2,0,2,2
CONCEPCION,internaciones,egresos,2015-01-01,8,25,8,25,33
COPACABANA,internaciones,egresos,2015-01-01,1,11,1,11,12
CORIPATA,internaciones,egresos,2015-01-01,0,4,0,4,4
CORO CORO,internaciones,egresos,2015-01-01,0,4,0,4,4
