,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos espontaneos,2015-01-01,12,49,12,49,61
ACHOCALLA,internaciones,ingresos espontaneos,2015-01-01,0,6,0,6,6
AIQUILE,internaciones,ingresos espontaneos,2015-01-01,33,69,33,69,102
ALALAY,internaciones,ingresos espontaneos,2015-01-01,0,1,0,1,1
ALCALA,internaciones,ingresos espontaneos,2015-01-01,0,4,0,4,4
ALTO BENI,internaciones,ingresos espontaneos,2015-01-01,0,9,0,9,9
ANTEQUERA,internaciones,ingresos espontaneos,2015-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2015-01-01,11,21,11,21,32
APOLO,internaciones,ingresos espontaneos,2015-01-01,1,12,1,12,13
ARAMPAMPA,internaciones,ingresos espontaneos,2015-01-01,1,4,1,4,5
ARANI,internaciones,ingresos espontaneos,2015-01-01,0,10,0,10,10
ARBIETO,internaciones,ingresos espontaneos,2015-01-01,0,18,0,18,18
ARQUE,internaciones,ingresos espontaneos,2015-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2015-01-01,42,124,42,124,166
ATOCHA,internaciones,ingresos espontaneos,2015-01-01,56,83,56,83,139
AYO AYO,internaciones,ingresos espontaneos,2015-01-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2015-01-01,12,34,12,34,46
AZURDUY,internaciones,ingresos espontaneos,2015-01-01,4,10,4,10,14
BAURES,internaciones,ingresos espontaneos,2015-01-01,8,14,8,14,22
BELLA FLOR,internaciones,ingresos espontaneos,2015-01-01,0,2,0,2,2
BERMEJO,internaciones,ingresos espontaneos,2015-01-01,110,168,110,168,278
BETANZOS,internaciones,ingresos espontaneos,2015-01-01,2,26,2,26,28
BOLIVAR,internaciones,ingresos espontaneos,2015-01-01,0,3,0,3,3
BOYUIBE,internaciones,ingresos espontaneos,2015-01-01,9,25,9,25,34
BUENA VISTA,internaciones,ingresos espontaneos,2015-01-01,14,17,14,17,31
CABEZAS,internaciones,ingresos espontaneos,2015-01-01,5,17,5,17,22
CAIROMA,internaciones,ingresos espontaneos,2015-01-01,1,9,1,9,10
"CAIZA ""D""",internaciones,ingresos espontaneos,2015-01-01,0,4,0,4,4
CAJUATA,internaciones,ingresos espontaneos,2015-01-01,0,14,0,14,14
CALAMARCA,internaciones,ingresos espontaneos,2015-01-01,0,7,0,7,7
CAMARGO,internaciones,ingresos espontaneos,2015-01-01,42,0,42,0,42
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2015-01-01,0,1,0,1,1
CAMIRI,internaciones,ingresos espontaneos,2015-01-01,184,356,184,356,540
CAPINOTA,internaciones,ingresos espontaneos,2015-01-01,3,30,3,30,33
CAQUIAVIRI,internaciones,ingresos espontaneos,2015-01-01,0,4,0,4,4
CARACOLLO,internaciones,ingresos espontaneos,2015-01-01,2,20,2,20,22
CARANAVI,internaciones,ingresos espontaneos,2015-01-01,25,129,25,129,154
CARAPARI,internaciones,ingresos espontaneos,2015-01-01,3,5,3,5,8
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2015-01-01,6,20,6,20,26
CHALLAPATA,internaciones,ingresos espontaneos,2015-01-01,25,113,25,113,138
CHAQUI,internaciones,ingresos espontaneos,2015-01-01,0,2,0,2,2
CHARAGUA,internaciones,ingresos espontaneos,2015-01-01,11,47,11,47,58
CHAYANTA,internaciones,ingresos espontaneos,2015-01-01,3,10,3,10,13
CHIMORE,internaciones,ingresos espontaneos,2015-01-01,2,11,2,11,13
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2015-01-01,44,92,44,92,136
CHUMA,internaciones,ingresos espontaneos,2015-01-01,1,4,1,4,5
CLIZA,internaciones,ingresos espontaneos,2015-01-01,17,97,17,97,114
COBIJA,internaciones,ingresos espontaneos,2015-01-01,116,102,116,102,218
COCHABAMBA,internaciones,ingresos espontaneos,2015-01-01,3536,5745,3536,5745,9281
