,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2018-01-01,0,2,0,2,2
ACHACACHI,internaciones,egresos,2018-01-01,2,39,2,39,41
ACHOCALLA,internaciones,egresos,2018-01-01,0,1,0,1,1
AIQUILE,internaciones,egresos,2018-01-01,18,59,18,59,77
ALCALA,internaciones,egresos,2018-01-01,0,2,0,2,2
ALTO BENI,internaciones,egresos,2018-01-01,0,6,0,6,6
ANCORAIMES,internaciones,egresos,2018-01-01,0,2,0,2,2
ANZALDO,internaciones,egresos,2018-01-01,17,10,17,10,27
APOLO,internaciones,egresos,2018-01-01,8,21,8,21,29
ARANI,internaciones,egresos,2018-01-01,0,1,0,1,1
ARQUE,internaciones,egresos,2018-01-01,2,3,2,3,5
ASCENCION DE GUARAYOS,internaciones,egresos,2018-01-01,46,132,46,132,178
ATOCHA,internaciones,egresos,2018-01-01,56,29,56,29,85
AUCAPATA,internaciones,egresos,2018-01-01,0,2,0,2,2
AYO AYO,internaciones,egresos,2018-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2018-01-01,14,29,14,29,43
AZURDUY,internaciones,egresos,2018-01-01,1,25,1,25,26
BATALLAS,internaciones,egresos,2018-01-01,0,6,0,6,6
BAURES,internaciones,egresos,2018-01-01,6,21,6,21,27
BERMEJO,internaciones,egresos,2018-01-01,74,144,74,144,218
BETANZOS,internaciones,egresos,2018-01-01,0,26,0,26,26
BOLIVAR,internaciones,egresos,2018-01-01,0,2,0,2,2
BOYUIBE,internaciones,egresos,2018-01-01,9,18,9,18,27
BUENA VISTA,internaciones,egresos,2018-01-01,14,16,14,16,30
CABEZAS,internaciones,egresos,2018-01-01,4,25,4,25,29
CAIROMA,internaciones,egresos,2018-01-01,1,10,1,10,11
"CAIZA ""D""",internaciones,egresos,2018-01-01,0,8,0,8,8
CAJUATA,internaciones,egresos,2018-01-01,0,15,0,15,15
CALACOTO,internaciones,egresos,2018-01-01,0,1,0,1,1
CALAMARCA,internaciones,egresos,2018-01-01,0,5,0,5,5
CAMARGO,internaciones,egresos,2018-01-01,42,60,42,60,102
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2018-01-01,1,0,1,0,1
CAMIRI,internaciones,egresos,2018-01-01,137,318,137,318,455
CAPINOTA,internaciones,egresos,2018-01-01,9,40,9,40,49
CAQUIAVIRI,internaciones,egresos,2018-01-01,0,3,0,3,3
CARACOLLO,internaciones,egresos,2018-01-01,1,28,1,28,29
CARANAVI,internaciones,egresos,2018-01-01,39,137,39,137,176
CARMEN RIVERO TORREZ,internaciones,egresos,2018-01-01,7,17,7,17,24
CHALLAPATA,internaciones,egresos,2018-01-01,17,102,17,102,119
CHAQUI,internaciones,egresos,2018-01-01,0,1,0,1,1
CHARAGUA,internaciones,egresos,2018-01-01,35,97,35,97,132
CHAYANTA,internaciones,egresos,2018-01-01,0,4,0,4,4
CHIMORE,internaciones,egresos,2018-01-01,5,16,5,16,21
CHUA COCANI,internaciones,egresos,2018-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2018-01-01,33,44,33,44,77
CHUMA,internaciones,egresos,2018-01-01,1,5,1,5,6
CKOCHAS,internaciones,egresos,2018-01-01,1,2,1,2,3
CLIZA,internaciones,egresos,2018-01-01,16,75,16,75,91
COBIJA,internaciones,egresos,2018-01-01,172,390,172,390,562
COCAPATA,internaciones,egresos,2018-01-01,1,6,1,6,7
COCHABAMBA,internaciones,egresos,2018-01-01,2870,5416,2870,5416,8286
COLCAPIRHUA,internaciones,egresos,2018-01-01,16,84,16,84,100
"COLCHA ""K""",internaciones,egresos,2018-01-01,0,1,0,1,1
COLOMI,internaciones,egresos,2018-01-01,0,22,0,22,22
COLPA BELGICA,internaciones,egresos,2018-01-01,10,17,10,17,27
COLQUECHACA,internaciones,egresos,2018-01-01,2,16,2,16,18
COLQUENCHA,internaciones,egresos,2018-01-01,0,2,0,2,2
COMARAPA,internaciones,egresos,2018-01-01,3,54,3,54,57
