,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
APOLO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,1,1,1,2
BAURES,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,2,3,2,3,5
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,4,0,4,4
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
CHIMORE,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,32,23,32,23,55
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,2,0,2,0,2
COROICO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,16,6,16,6,22
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,2,2,2,2,4
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,2,4,2,4,6
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
IXIAMAS,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,15,16,15,16,31
MACHARETI,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
MAGDALENA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,5,0,5,5
MINEROS,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,1,1,1,2
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,6,2,6,2,8
ORURO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,20,7,20,7,27
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,1,1,1,2
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,3,0,3,0,3
PATACAMAYA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,2,1,2,1,3
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,15,10,15,10,25
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,2,1,2,3
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,6,3,6,3,9
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,1,1,1,1,2
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,2,3,2,3,5
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2018-01-01,25,31,25,31,56
