,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,0,0,0,0
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,1,1,1,2
BOYUIBE,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,2,2,2,2,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
CARAPARI,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,5,0,5,0,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,75,56,75,56,131
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,13,17,13,17,30
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,2,6,2,6,8
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,77,78,77,78,155
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,1,1,1,2
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,6,3,6,3,9
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,11,7,11,7,18
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,4,0,4,0,4
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,12,7,12,7,19
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,5,3,5,3,8
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,2,0,2,2
SAN IGNACIO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,2,1,2,1,3
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,2,0,2,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,80,70,80,70,150
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,14,31,14,31,45
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,23,20,23,20,43
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,13,11,13,11,24
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,2,2,2,2,4
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,0,2,0,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,4,4,4,4,8
YAPACANI,internaciones,fallecidos a partir de las 48 hrs.,2018-01-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,2,1,2,1,3
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2018-02-01,2,0,2,0,2
