,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
ACHACACHI,internaciones,ingresos espontaneos,2018-01-01,2,35,2,35,37
ACHOCALLA,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
AIQUILE,internaciones,ingresos espontaneos,2018-01-01,17,60,17,60,77
ALCALA,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
ALTO BENI,internaciones,ingresos espontaneos,2018-01-01,0,6,0,6,6
ANCORAIMES,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
ANZALDO,internaciones,ingresos espontaneos,2018-01-01,18,10,18,10,28
APOLO,internaciones,ingresos espontaneos,2018-01-01,8,21,8,21,29
ARANI,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
ARQUE,internaciones,ingresos espontaneos,2018-01-01,2,3,2,3,5
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2018-01-01,46,115,46,115,161
ATOCHA,internaciones,ingresos espontaneos,2018-01-01,57,24,57,24,81
AUCAPATA,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
AYO AYO,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2018-01-01,14,28,14,28,42
AZURDUY,internaciones,ingresos espontaneos,2018-01-01,3,19,3,19,22
BATALLAS,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
BAURES,internaciones,ingresos espontaneos,2018-01-01,5,19,5,19,24
BERMEJO,internaciones,ingresos espontaneos,2018-01-01,80,150,80,150,230
BETANZOS,internaciones,ingresos espontaneos,2018-01-01,0,24,0,24,24
BOLIVAR,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
BOYUIBE,internaciones,ingresos espontaneos,2018-01-01,9,18,9,18,27
BUENA VISTA,internaciones,ingresos espontaneos,2018-01-01,17,16,17,16,33
CABEZAS,internaciones,ingresos espontaneos,2018-01-01,5,25,5,25,30
CAIROMA,internaciones,ingresos espontaneos,2018-01-01,1,10,1,10,11
"CAIZA ""D""",internaciones,ingresos espontaneos,2018-01-01,0,8,0,8,8
CAJUATA,internaciones,ingresos espontaneos,2018-01-01,0,15,0,15,15
CALACOTO,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2018-01-01,0,5,0,5,5
CAMARGO,internaciones,ingresos espontaneos,2018-01-01,45,64,45,64,109
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2018-01-01,1,0,1,0,1
CAMIRI,internaciones,ingresos espontaneos,2018-01-01,131,265,131,265,396
CAPINOTA,internaciones,ingresos espontaneos,2018-01-01,11,43,11,43,54
CAQUIAVIRI,internaciones,ingresos espontaneos,2018-01-01,0,3,0,3,3
CARACOLLO,internaciones,ingresos espontaneos,2018-01-01,1,28,1,28,29
CARANAVI,internaciones,ingresos espontaneos,2018-01-01,28,106,28,106,134
CARAPARI,internaciones,ingresos espontaneos,2018-01-01,1,2,1,2,3
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2018-01-01,7,17,7,17,24
CHALLAPATA,internaciones,ingresos espontaneos,2018-01-01,18,98,18,98,116
CHAQUI,internaciones,ingresos espontaneos,2018-01-01,0,1,0,1,1
CHARAGUA,internaciones,ingresos espontaneos,2018-01-01,29,73,29,73,102
CHAYANTA,internaciones,ingresos espontaneos,2018-01-01,1,5,1,5,6
CHIMORE,internaciones,ingresos espontaneos,2018-01-01,5,16,5,16,21
CHUA COCANI,internaciones,ingresos espontaneos,2018-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2018-01-01,30,30,30,30,60
CHUMA,internaciones,ingresos espontaneos,2018-01-01,1,5,1,5,6
CKOCHAS,internaciones,ingresos espontaneos,2018-01-01,1,2,1,2,3
CLIZA,internaciones,ingresos espontaneos,2018-01-01,16,55,16,55,71
