municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,10,10
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,51,51
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,44,44
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,43,43
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,5,5
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,7,7
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,14,14
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,6,6
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,3,3
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,2,2
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,12,12
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,41,41
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,5,5
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,18,18
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,40,40
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,26,26
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,18,18
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,11,11
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,6,6
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,8,8
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,20,20
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,37,37
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,18,18
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,14,14
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,4,4
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,2,2
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,3,3
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,60,60
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,21,21
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,5,5
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,12,12
BOYUIBE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,23,23
CABEZAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,51,51
CAIROMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,17,17
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,13,13
CAJUATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,13,13
CALAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,17,17
CAMARGO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,25,25
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,4,4
CAMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,60,60
CAPINOTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,32,32
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,5,5
CARACOLLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,19,19
CARANAVI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,80,80
CARAPARI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,27,27
CARIPUYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,9,9
CATACORA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,3,3
CHACARILLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,63,63
CHAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,9,9
CHARAGUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,62,62
CHARAÑA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,2,2
CHAYANTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,18,18
CHIMORE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,51,51
CHIPAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
CHUA COCANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,25,25
CHUMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,8,8
CKOCHAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,19,19
CLIZA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,51,51
COBIJA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,110,110
COCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,41,41
COCHABAMBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,884,884
COIPASA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,65,65
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,17,17
COLLANA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,5,5
COLOMI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,34,34
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,9,9
COLQUECHACA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,55,55
COLQUENCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,11,11
COLQUIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,29,29
COMARAPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,15,15
COMBAYA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
CONCEPCION,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,54,54
COPACABANA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,14,14
CORIPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,21,21
CORO CORO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,9,9
COROICO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,24,24
CORQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,10,10
COTAGAITA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,17,17
COTOCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,105,105
CRUZ DE MACHACAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
CUATRO CAÑADAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,31,31
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,2,2
CUEVO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,16,16
CULPINA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,27,27
CURAHUARA DE CARANGAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,2,2
CURVA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,3,3
DESAGUADERO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,8,8
EL ALTO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1235,1235
EL CHORO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,6,6
EL PUENTE(STC),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,22,22
EL PUENTE(TJA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,19,19
EL TORNO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,114,114
EL VILLAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,4,4
ENTRE RIOS TRJ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,36,36
ENTRE RIOS CBBA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,71,71
ESCOMA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,6,6
ESMERALDA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
EUCALIPTUS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,6,6
EUREKA (SANTOS MERCADO),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
EXALTACION,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,34,34
FILADELFIA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,10,10
GENERAL SAAVEDRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,12,12
GUANAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,30,30
GUAQUI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,10,10
GUAYARAMERIN,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,47,47
GUTIERREZ,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,17,17
HUACARETA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2018-01-01,16,16
