municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,26,26
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,100,100
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,92,92
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,149,149
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,14,14
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,21,21
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,82,82
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,33,33
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,20,20
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,14,14
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,33,33
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,84,84
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,36,36
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,67,67
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,157,157
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,81,81
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,7,7
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,52,52
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,33,33
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,50,50
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,32,32
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,91,91
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,72,72
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,80,80
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,36,36
BELEN DE ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,10,10
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,8,8
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,28,28
BERMEJO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,4,4
BETANZOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,192,192
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,32,32
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,14,14
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,27,27
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,2,2
CABEZAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,61,61
CAIROMA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,48,48
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,77,77
CAJUATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,37,37
CALACOTO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,15,15
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,88,88
CAMARGO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,20,20
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,15,15
CAMIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,108,108
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,105,105
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,43,43
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,118,118
CARANAVI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2018-01-01,1,1
