municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,44,44
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,33,33
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
ANTEQUERA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,15,15
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,16,16
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,10,10
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,21,21
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,17,17
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,11,11
BELEN DE ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,18,18
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,32,32
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,36,36
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,7,7
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
CAJUATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,15,15
CALACOTO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
CALAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,14,14
CAMARGO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
CAMIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,48,48
CAPINOTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,21,21
CAQUIAVIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
CARACOLLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,19,19
CARANAVI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,44,44
CARAPARI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
CARIPUYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
CATACORA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
CHACARILLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,63,63
CHAQUI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
CHARAGUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,45,45
CHARAÑA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1,1
CHAYANTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,11,11
CHIMORE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,18,18
CHIPAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
CHUMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,8,8
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
CKOCHAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
CLIZA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,30,30
COBIJA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,44,44
COCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
COCHABAMBA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,1155,1155
COLCAPIRHUA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,33,33
"COLCHA ""K""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,11,11
COLLANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,2,2
COLOMI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,22,22
COLQUECHACA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,48,48
COLQUENCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
COLQUIRI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,16,16
COMARAPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,36,36
COMBAYA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,4,4
CONCEPCION,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,29,29
COPACABANA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,14,14
CORIPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2018-01-01,13,13
