municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,6,6
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,1,1
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,10,10
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,6,6
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,9,9
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,3,3
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,1,1
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,8,8
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,2,2
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,2,2
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,8,8
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,9,9
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,17,17
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,1,1
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,2,2
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,1,1
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2018-01-01,9,9
