municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,11,11
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,29,29
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,35,35
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,39,39
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,4,4
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,7,7
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,16,16
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,13,13
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,1,1
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,5,5
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,18,18
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,9,9
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,10,10
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,42,42
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,13,13
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,15,15
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,15,15
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,10,10
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,12,12
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,42,42
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,15,15
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,18,18
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,6,6
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,4,4
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,57,57
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,27,27
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,10,10
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,7,7
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,14,14
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,70,70
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,8,8
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,20,20
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,16,16
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,5,5
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,22,22
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,20,20
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,2,2
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,47,47
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,41,41
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,8,8
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,23,23
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2018-01-01,84,84
