municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,3,3
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,49,49
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,33,33
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,38,38
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,6,6
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,2,2
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,12,12
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,19,19
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,6,6
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,1,1
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,5,5
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,37,37
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,4,4
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,12,12
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,35,35
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,22,22
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,51,51
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,17,17
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,4,4
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,4,4
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,35,35
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,17,17
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,24,24
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,17,17
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,2,2
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,14,14
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,121,121
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,43,43
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,6,6
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,7,7
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,21,21
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,57,57
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,16,16
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,12,12
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,21,21
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,1,1
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,11,11
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,27,27
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,3,3
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,85,85
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,55,55
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,14,14
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,40,40
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,100,100
CARANGAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,1,1
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,21,21
CARIPUYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,10,10
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,10,10
CATACORA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,3,3
CHACARILLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,1,1
CHALLAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,54,54
CHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,7,7
CHARAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,78,78
CHAYANTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,13,13
CHIMORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,71,71
CHOQUE COTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,2,2
CHUA COCANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,40,40
CHUMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,18,18
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,5,5
CKOCHAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,14,14
CLIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,35,35
COBIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,164,164
COCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,24,24
COCHABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,1088,1088
COLCAPIRHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2018-01-01,102,102
