municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,11,11
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,33,33
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,35,35
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,38,38
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,4,4
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,8,8
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,16,16
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,15,15
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,2,2
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,5,5
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,18,18
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,9,9
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,17,17
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,43,43
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,13,13
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,59,59
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,15,15
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,10,10
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,12,12
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,42,42
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,15,15
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,18,18
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,11,11
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,4,4
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,55,55
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,36,36
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,10,10
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,7,7
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,15,15
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,64,64
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,6,6
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,20,20
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,16,16
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,5,5
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,17,17
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,20,20
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,2,2
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,66,66
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,32,32
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,7,7
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,23,23
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,85,85
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,31,31
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,16,16
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,4,4
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,55,55
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,12,12
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,44,44
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,3,3
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,23,23
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,52,52
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,4,4
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,34,34
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,10,10
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,8,8
CKOCHAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,11,11
CLIZA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2018-01-01,41,41
