municipality,group,variable,month,Niños (as) de 2 años a menores de 5 años con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,18,18
ACHACACHI,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,43,43
ACHOCALLA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,76,76
AIQUILE,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,80,80
ALALAY,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,10,10
ALCALA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,14,14
ALTO BENI,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,42,42
ANCORAIMES,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,15,15
ANDAMARCA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,5,5
ANTEQUERA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,6,6
ANZALDO,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,19,19
APOLO,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,54,54
ARAMPAMPA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,13,13
ARANI,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,19,19
ARBIETO,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,94,94
ARQUE,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,51,51
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,50,50
ATOCHA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,37,37
AUCAPATA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,7,7
AYATA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,19,19
AYO AYO,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,28,28
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,77,77
AZURDUY,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,39,39
BATALLAS,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,27,27
BAURES,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,24,24
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,4,4
BELEN DE URMIRI,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,3,3
BELLA FLOR,micronutrientes,ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2018-01-01,10,10
