municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,52,52
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,12,12
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,29,29
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,2,2
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,6,6
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,7,7
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,1,1
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,8,8
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,4,4
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,67,67
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,12,12
AUCAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,1,1
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,11,11
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,17,17
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,15,15
BELLA FLOR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,2,2
BERMEJO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,15,15
BETANZOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,30,30
BOLIVAR,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
BOYUIBE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
BUENA VISTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,14,14
CABEZAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,15,15
CAIROMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,4,4
"CAIZA ""D""",micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,17,17
CALAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
CAMARGO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,1,1
CAMIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,66,66
CAPINOTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,20,20
CAQUIAVIRI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,1,1
CARACOLLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,20,20
CARANAVI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,62,62
CARAPARI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,14,14
CARIPUYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,6,6
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,2,2
CHACARILLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,44,44
CHAQUI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,10,10
CHARAGUA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,22,22
CHARAÑA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
CHAYANTA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,13,13
CHIMORE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,2,2
CHIPAYA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,14,14
CHUMA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,5,5
CKOCHAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
CLIZA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,9,9
COBIJA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,70,70
COCAPATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,18,18
COCHABAMBA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2018-01-01,204,204
