,group,variable,month,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,14.3 OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,4.0,4.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,23.0,21.0,44.0
AZURDUY,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,17.0,14.0,31.0
BAURES,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
BERMEJO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,268.0,215.0,483.0
BOYUIBE,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,0.0,1.0
BUENA VISTA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,3.0,1.0,4.0
CAMARGO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,26.0,13.0,39.0
CAMIRI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,29.0,27.0,56.0
CARANAVI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,5.0,11.0,16.0
CHALLAPATA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,2.0,4.0
CHARAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,4.0,10.0,14.0
CLIZA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,3.0,5.0
COBIJA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,22.0,16.0,38.0
COCHABAMBA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,162.0,116.0,278.0
COLCAPIRHUA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,8.0,6.0,14.0
COMARAPA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,0.0,1.0
CONCEPCION,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,1.0,3.0
COROICO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,4.0,1.0,5.0
CULPINA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,0.0,1.0
EL ALTO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,212.0,213.0,425.0
EL TORNO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,2.0,4.0
GUAYARAMERIN,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,17.0,10.0,27.0
GUTIERREZ,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
HUANUNI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,5.0,5.0,10.0
JESUS DE MACHACA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,0.0,1.0,1.0
LA GUARDIA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,7.0,3.0,10.0
LA PAZ,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,475.0,467.0,942.0
LLALLAGUA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,9.0,7.0,16.0
MAGDALENA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,5.0,2.0,7.0
MONTEAGUDO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,9.0,6.0,15.0
MONTERO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,90.0,69.0,159.0
ORURO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,35.0,31.0,66.0
PAILON,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,0.0,1.0
PORTACHUELO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,71.0,61.0,132.0
POTOSI,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,44.0,39.0,83.0
PUERTO RICO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,1.0,1.0,2.0
PUERTO VILLARROEL,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,2.0,4.0,6.0
PUNATA,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,14.0,10.0,24.0
QUILLACOLLO,diagnostico de egreso,      otros en menores de 5 anos,2014-01-01,119.0,126.0,245.0
