municipality,group,variable,month,Nacidos muertos atendidos por partera capacit,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,2,2
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,2,2
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
VACAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
VALLEGRANDE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-01-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,2,2
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,2,2
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-02-01,1,1
ANDAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
PADCAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-03-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
INGAVI (HUMAITA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-04-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
LURIBAY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,5,5
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
UMALA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
TARIJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-06-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,3,3
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
SAN PABLO DE LIPEZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,3,3
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2006-07-01,1,1
