,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,9,8,40,39,49,47,96
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,35,35,197,193,232,228,460
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,15,14,93,90,108,104,212
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,71,62,160,147,231,209,440
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,11,6,24,25,35,31,66
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,7,10,28,22,35,32,67
ALTO BENI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,11,92,64,102,75,177
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,13,8,67,73,80,81,161
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,0,30,42,32,42,74
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,2,4,20,33,22,37,59
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,12,7,57,52,69,59,128
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,18,174,194,184,212,396
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,6,6,41,33,47,39,86
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,21,11,110,88,131,99,230
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,18,15,112,127,130,142,272
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,17,18,144,113,161,131,292
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,68,47,164,194,232,241,473
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2013-01-01,10,10,69,77,79,87,166
