,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,6,5,41,43,47,48,95
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,36,33,149,149,185,182,367
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,16,10,66,69,82,79,161
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,45,56,151,169,196,225,421
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,2,1,15,19,17,20,37
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,7,1,17,27,24,28,52
ALTO BENI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,11,10,98,90,109,100,209
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,9,5,84,64,93,69,162
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,2,41,29,44,31,75
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,1,5,23,11,24,16,40
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,13,11,60,56,73,67,140
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,17,17,137,138,154,155,309
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,3,4,24,33,27,37,64
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2013-01-01,12,8,91,100,103,108,211
