,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,4,46,48,49,52,101
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,32,28,115,111,147,139,286
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,17,4,51,55,68,59,127
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,53,41,102,126,155,167,322
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,3,19,14,24,17,41
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,4,58,45,62,49,111
ALTO BENI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,11,8,63,85,74,93,167
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,8,104,110,112,118,230
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,3,1,56,76,59,77,136
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,0,0,16,18,16,18,34
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,7,10,48,58,55,68,123
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,8,10,152,118,160,128,288
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,5,1,50,46,55,47,102
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2013-01-01,4,5,92,75,96,80,176
