,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,3,12,13,14,16,30
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,22,13,147,160,169,173,342
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,9,13,155,126,164,139,303
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,3,7,39,23,42,30,72
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,2,2,1,7,3,10
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,6,4,6,4,10
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,6,7,56,53,62,60,122
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,1,41,47,43,48,91
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,1,2,12,10,13,12,25
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,0,0,5,5,5,5,10
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,5,1,35,24,40,25,65
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,11,13,92,61,103,74,177
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2022-01-01,2,2,8,3,10,5,15
