,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,1,1,4,12,5,13,18
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,6,6,3,4,9,10,19
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,0,4,1,4,1,5
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,2,1,31,33,33,34,67
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,1,2,1,2,2,4
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,0,4,8,4,8,12
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,4,6,2,2,6,8,14
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,1,4,5,4,6,10
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,1,1,3,1,4,5
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,0,13,14,13,14,27
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,2,2,7,2,9,11
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,1,1,12,9,13,10,23
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2022-01-01,0,0,1,5,1,5,6
