municipality,group,variable,month,N° de TBP BAAR (+) nuevos,TOTAL
ACHACACHI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,5,5
ACHOCALLA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
AIQUILE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
ALALAY,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
APOLO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
ASCENCION DE GUARAYOS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
BATALLAS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
BAURES,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
BERMEJO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
BUENA VISTA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
"CAIZA ""D""",tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
CAMIRI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
CAPINOTA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
CAQUIAVIRI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
CARANAVI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,15,15
CHARAGUA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
CHAYANTA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
CHIMORE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
CHUMA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
COBIJA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
COCHABAMBA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,33,33
COLCAPIRHUA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
COMARAPA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
CORIPATA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
COTAGAITA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
COTOCA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
EL ALTO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,43,43
EL TORNO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,9,9
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
ENTRE RIOS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
FILADELFIA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
GUANAY,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
HUANUNI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
ICLA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
IRUPANA (VILLA DE LANZA),tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
LA ASUNTA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,6,6
LA GUARDIA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
LA PAZ,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,38,38
LAGUNILLAS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
LICOMA PAMPA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
MAPIRI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
MECAPACA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
MINEROS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,4,4
MIZQUE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
MONTERO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,9,9
PAILON,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
PALCA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
PALOS BLANCOS,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,3,3
PATACAMAYA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
PORONGO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
POTOSI,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,8,8
PUERTO QUIJARRO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
PUERTO VILLARROEL,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,9,9
PUNATA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,1,1
QUILLACOLLO,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,5,5
RIBERALTA,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,8,8
ROBORE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
RURRENABAQUE,tuberculosis,n de tbp baar (+) nuevos,2009-01-01,2,2
